Family,Instance Name,with-VBGS,,,without-VBGS,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
heter,yahoo-msg,177623,176633,164454,169859,169857,164439
ia,ia-dbpedia-team-bi,450136,444869,417392,449977,420964,416741
ia,ia-email-EU,37785,37287,36839,37674,37674,37674
ia,ia-email-univ,2652,2652,2652,2781,2781,2781
ia,ia-enron-large,50665,49657,48534,50114,49454,49454
ia,ia-escorts-dynamic,22604,21565,21457,23120,23120,23120
ia,ia-fb-messages,3476,3476,3476,3709,3709,3709
ia,ia-frwikinews-user-edits,27497,27497,27437,27523,27523,27523
ia,ia-reality,7218,7201,7190,7261,7261,7261
ia,ia-wikiquote-user-edits,117786,114121,113614,118754,116920,116920
ia,ia-wiki-Talk,154721,154535,154524,154721,154579,154579
ia,ia-wiki-trust-dir,202424,196957,193289,203706,200331,194400
misc,144,172550,167153,166293,167689,166915,166746
misc,162bit,19798,19088,19044,20557,20557,20557
misc,176bit,40994,39296,38550,41296,41296,41296
misc,192bit,72225,70669,67954,72295,72007,72007
misc,208bit,128297,127296,123059,128403,127993,127993
misc,2cubes-sphere,128657,123458,121970,123836,122674,122642
misc,2D-27628-bjtcai,31529,31520,31490,31571,31571,31571
misc,2D-54019-highK,59655,59610,59610,59667,59667,59667
misc,3D-28984-Tetra,39200,39200,39200,39046,39046,39046
misc,3D-51448-3D,65816,65794,65794,65822,65813,65813
misc,3dtube,70228,61210,61194,61659,61205,61205
misc,598a,129794,127947,127524,129277,127917,127917
misc,a0nsdsil,80482,80482,80480,80482,80482,80482
misc,a2nnsnsl,80477,80473,80473,80552,80552,80552
misc,a5esindl,60260,60260,60260,60242,60242,60242
misc,aa01,16864,16736,16722,17152,17152,17152
misc,aa03,16560,16489,16489,16743,16743,16743
misc,aa3,16587,16526,16524,16718,16718,16718
misc,aa4,13707,13639,13634,13960,13960,13960
misc,aa5,16018,15939,15930,16134,16134,16134
misc,aa6,13919,13817,13808,14161,14161,14161
misc,ABACUS-shell-hd,25958,25952,25949,26061,26061,26061
misc,ABACUS-shell-ld,25957,25957,25928,26005,26005,26005
misc,ABACUS-shell-md,25965,25964,25964,26013,26013,26013
misc,ABACUS-shell-ud,26002,25981,25976,26042,26042,26042
misc,abtaha1,20307,20189,20166,20732,20732,20732
misc,abtaha2,48846,48490,48450,48954,48954,48954
misc,actor-collaboration,156401,156192,155719,156344,156222,156059
misc,actor-movie,700152,699807,676229,700150,682956,670893
misc,add20,3086,3086,3086,3140,3140,3140
misc,add32,5116,5116,5116,5140,5140,5140
misc,adder-dcop-01,2408,2406,2402,2449,2449,2449
misc,adder-dcop-02,2411,2411,2411,2450,2450,2450
misc,adder-dcop-03,2395,2395,2395,2461,2461,2461
misc,adder-dcop-04,2363,2363,2363,2420,2420,2420
misc,adder-dcop-05,2384,2384,2384,2425,2425,2425
misc,adder-dcop-06,2374,2374,2374,2460,2460,2460
misc,adder-dcop-07,2387,2387,2387,2460,2460,2460
misc,adder-dcop-08,2393,2393,2393,2465,2465,2465
misc,adder-dcop-09,2381,2381,2381,2451,2451,2451
misc,adder-dcop-10,2401,2401,2401,2463,2463,2463
misc,adder-dcop-11,2400,2400,2400,2430,2430,2430
misc,adder-dcop-12,2404,2404,2404,2459,2459,2459
misc,adder-dcop-13,2377,2377,2377,2437,2437,2437
misc,adder-dcop-14,2395,2395,2395,2461,2461,2461
misc,adder-dcop-15,2393,2393,2393,2457,2457,2457
misc,adder-dcop-16,2402,2402,2402,2471,2471,2471
misc,adder-dcop-17,2403,2403,2403,2492,2492,2492
misc,adder-dcop-18,2392,2392,2392,2491,2491,2491
misc,adder-dcop-19,2402,2402,2402,2459,2459,2459
misc,adder-dcop-20,2398,2398,2398,2498,2498,2498
misc,adder-dcop-21,2406,2401,2401,2433,2433,2433
misc,adder-dcop-22,2402,2402,2402,2449,2449,2449
misc,adder-dcop-23,2412,2412,2412,2470,2470,2470
misc,adder-dcop-24,2411,2411,2411,2446,2446,2446
misc,adder-dcop-25,2391,2389,2389,2464,2464,2464
misc,adder-dcop-26,2402,2402,2402,2460,2460,2460
misc,adder-dcop-27,2399,2399,2399,2462,2462,2462
misc,adder-dcop-28,2397,2397,2394,2495,2495,2495
misc,adder-dcop-29,2405,2404,2404,2449,2449,2449
misc,adder-dcop-30,2406,2406,2406,2491,2491,2491
misc,adder-dcop-31,2413,2413,2413,2445,2445,2445
misc,adder-dcop-32,2402,2400,2400,2444,2444,2444
misc,adder-dcop-33,2390,2387,2387,2414,2414,2414
misc,adder-dcop-34,2399,2398,2398,2495,2495,2495
misc,adder-dcop-35,2396,2396,2395,2460,2460,2460
misc,adder-dcop-36,2404,2404,2404,2452,2452,2452
misc,adder-dcop-37,2408,2408,2408,2440,2440,2440
misc,adder-dcop-38,2391,2391,2391,2494,2494,2494
misc,adder-dcop-39,2400,2400,2400,2461,2461,2461
misc,adder-dcop-40,2407,2407,2407,2437,2437,2437
misc,adder-dcop-41,2396,2396,2396,2474,2474,2474
