Family,Instance Name,with-VBGS,,,without-VBGS,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,ch7-9-b3,222402,217825,215997,222402,218123,217448
misc,ch7-9-b4,807812,807812,797492,807812,803691,797768
misc,ch8-8-b2,30342,30215,30085,30448,30448,30448
misc,ch8-8-b3,243710,239732,237192,243710,239761,238384
misc,ch8-8-b4,943897,943897,933467,943897,939095,933950
misc,Chebyshev2,2401,2401,2401,2401,2401,2401
misc,Chebyshev3,4449,4449,4449,4449,4449,4449
misc,Chem97Zt,33580,33579,33579,33580,33580,33580
misc,chem-master1,43049,42967,42903,43106,43106,43106
misc,chipcool0,26815,26740,26740,26939,26939,26939
misc,chipcool1,26818,26709,26705,26913,26913,26913
misc,circuit-1,3935,3935,3935,3972,3972,3972
misc,circuit-2,5277,5275,5275,5387,5387,5387
misc,circuit-3,12544,12533,12533,12561,12561,12561
misc,circuit-4,70686,70659,70659,70696,70696,70696
misc,cis-n4c6-b13,40948,40139,40003,41012,40936,40936
misc,cis-n4c6-b3,14492,14378,14247,14624,14624,14624
misc,cis-n4c6-b4,51849,51541,51258,51942,51942,51942
misc,citationCiteseer,386861,385051,351806,356127,356127,350299
misc,citeseer,558409,558031,504381,558486,509639,502372
misc,citeulike-ti,1058309,1058309,982537,1058289,982937,976523
misc,citeulike-ui,758371,758012,757111,758371,758296,758296
misc,citeulike-ut,229127,228945,228623,229127,229127,229127
misc,cit-HepPh,75590,69648,67261,70154,68059,68059
misc,cit-HepTh,62220,58984,56840,62220,58984,56840
misc,cit-HepTh2007,63211,59218,56943,60429,58320,58320
misc,ckt11752-dc-1,51379,51312,51303,51427,51427,51427
misc,ckt11752-tr-0,51397,51338,51323,51421,51421,51421
misc,CO,186334,171276,169576,173498,171686,171056
misc,co5,21192,21121,21082,21224,21224,21224
misc,co9,38120,38077,38002,38164,38164,38164
misc,coater1,2883,2883,2883,2928,2928,2928
misc,coater2,13283,13283,13283,13328,13328,13328
misc,coAuthorsCiteseer,264162,255923,254365,264218,255594,254773
misc,coAuthorsDBLP,382059,381325,361216,382067,365590,360246
misc,com-amazon,385047,375138,371605,385047,376470,371942
misc,com-dblp,407702,404499,386090,407680,389779,384167
misc,commanche-dual,8670,8665,8665,8684,8684,8684
misc,complex,7577,7422,7324,7723,7723,7723
misc,comsol,4238,4238,4238,4268,4268,4268
misc,cond-mat,19014,18906,18881,19187,19187,19187
misc,cond-mat-2003,39623,38791,38571,39426,39410,39410
misc,cond-mat-2005,54559,53162,52358,53892,53569,53569
misc,conf5-0-4x4-10,9749,9321,9321,10248,10248,10248
misc,conf5-0-4x4-14,9793,9245,9192,10353,10353,10353
misc,conf5-0-4x4-18,9481,9121,9121,10365,10365,10365
misc,conf5-0-4x4-22,9818,9238,9189,10257,10257,10257
misc,conf5-0-4x4-26,10102,9911,9911,10520,10520,10520
misc,conf5-4-8x8-05,103672,103573,103573,103672,103567,103567
misc,conf5-4-8x8-10,105032,105017,105017,105032,105031,105031
misc,conf5-4-8x8-15,104243,104130,104130,104250,104204,104204
misc,conf5-4-8x8-20,104674,104630,104630,104674,104674,104674
misc,conf6-0-4x4-20,10041,9358,9358,10407,10407,10407
misc,conf6-0-4x4-30,9768,9544,9544,10365,10365,10365
misc,conf6-0-8x8-20,103862,103862,103862,103862,103862,103862
misc,conf6-0-8x8-30,104141,104053,104053,104114,104096,104096
misc,conf6-0-8x8-80,105017,104909,104909,105046,105042,105042
misc,connectus,399111,399108,399108,399111,399111,399110
misc,cont11-l,419042,419042,419042,419042,419042,419042
misc,cont1-l,1426828,1426221,1426206,1426828,1426214,1426210
misc,cont-201,85586,85549,85537,85601,85601,85601
misc,cont-300,188638,188319,188303,188485,188413,188413
misc,cop20k-A,121346,114041,113759,117589,114371,114354
misc,coPapersCiteseer,169822,169822,169822,169822,169822,169822
misc,coPapersDBLP,37782,37782,37782,37782,37782,37782
misc,copter1,22634,22576,22572,22750,22750,22750
misc,copter2,67343,66679,66599,66979,66650,66650
misc,cora-agm-fcl-aid,22602,21491,21162,23261,23261,23261
misc,cora-subelj,32638,31816,31511,32557,32557,32557
misc,coupled,13707,13707,13707,13634,13634,13634
misc,cq5,19727,19688,19653,19773,19773,19773
misc,cq9,35161,35081,34946,35221,35221,35221
misc,crack,11462,11462,11462,11523,11523,11523
misc,crack-dual,21331,21331,21331,21334,21334,21334
misc,crankseg-1,47351,47174,47010,47351,47349,47349
misc,crashbasis,176217,173719,173556,176208,173692,173692
misc,crew1,9127,9125,9122,9241,9241,9241
misc,crplat2,24066,23998,23998,24657,24434,24434
misc,cryg10000,11284,11284,11284,11304,11304,11304
misc,cryg2500,3100,3100,3100,3141,3141,3141
misc,crystk01,10143,10143,10143,10182,10182,10182
misc,crystk02,24617,24483,24483,24671,24577,24577
misc,crystk03,39495,38852,38851,39494,39053,39053
misc,crystm01,7506,7506,7506,7625,7625,7625
misc,crystm02,19136,19136,19136,19433,19433,19433
misc,crystm03,31941,31760,31745,32570,32234,32234
misc,cs4,26346,26268,26233,26451,26451,26451
misc,ct20stif,63334,62946,62939,63291,63057,63057
misc,cti,21594,21548,21548,21658,21658,21658
misc,cvxbqp1,54162,54073,54062,54236,54236,54236
misc,cvxqp3,24451,23787,23666,24742,24742,24742
misc,cyl6,18463,18463,18463,18460,18460,18460
misc,D6-6,70003,70002,70002,70084,70084,70084
misc,dano3mip,29508,29407,29291,29562,29562,29562
misc,darcy003,398896,394286,394182,398896,394317,394317
misc,dawson5,56300,56129,56129,56315,56201,56201
misc,dbic1,290986,290239,290183,290988,290307,290307
misc,dbir1,92864,86255,82057,92861,86172,85871
misc,dbir2,92809,87348,85495,92844,87569,86575
misc,dblp-2010,350541,340951,338317,345566,340608,339121
misc,dblp-author,6210394,6210388,5897617,6210394,6210388,5897617
misc,dblp-cite,20648,19915,19585,20527,20527,20527
misc,dbpedia-country,591032,591003,590989,591039,591006,591006
misc,dbpedia-genre,268859,268739,268668,268859,268708,268708
misc,dbpedia-location,197876,197536,197369,197915,197514,197466
misc,dbpedia-occupation,143787,143666,143654,143882,143667,143667
misc,dbpedia-producer,172970,170037,168652,171906,169954,169954
misc,dbpedia-recordlabel,183072,182209,182066,183104,182223,182223
misc,dbpedia-starring,198050,196354,190667,198251,193086,192127
misc,dbpedia-team,988949,988763,956835,988949,959490,956606
misc,dbpedia-writer,120200,119521,117990,120200,119739,119739
misc,dc1,118843,118843,118843,118843,118843,118843
misc,dc2,118843,118843,118843,118843,118843,118843
misc,dc3,118843,118843,118843,118843,118843,118843
misc,debr,1229056,1229056,1209520,1229056,1229056,1210685
misc,degme,234051,228869,228694,234051,228883,228883
misc,delaunay-n13,9290,9286,9286,9355,9355,9355
misc,delaunay-n14,17946,17941,17941,18040,18040,18040
misc,delaunay-n15,34979,34945,34939,35078,35078,35078
misc,delaunay-n16,68786,68626,68626,68793,68772,68772
misc,delaunay-n17,135757,135469,135426,135712,135617,135617
misc,delaunay-n18,270469,268610,268306,270469,268619,268619
misc,delaunay-n19,535937,533795,533140,535937,533671,533544
misc,delf,9819,9801,9790,9909,9909,9909
misc,delicious-ut,347806,347742,347511,347804,347799,347562
misc,deltaX,107571,106374,104870,107488,107224,107224
misc,denormal,97351,96984,96954,97223,97008,97008
misc,descriptor-xingo6u,20411,20409,20406,20444,20444,20444
misc,deter0,8060,8060,8060,8090,8090,8090
misc,deter1,22286,22268,22268,22314,22314,22314
misc,deter2,24729,24728,24728,24805,24805,24805
misc,deter3,30642,30640,30640,30679,30679,30679
misc,deter4,13456,13456,13456,13479,13479,13479
misc,deter5,20624,20624,20624,20664,20664,20664
misc,deter6,17272,17264,17264,17311,17311,17311
misc,deter7,25415,25415,25415,25422,25422,25422
misc,deter8,15612,15608,15608,15649,15649,15649
misc,df2177,13821,13664,13664,13949,13949,13949
misc,dictionary28,47097,46547,46295,47084,47084,47084
misc,discogs-lgenre,271116,271116,271116,271116,271116,271116
misc,discogs-lstyle,252632,252632,252630,252632,252632,252630
misc,dixmaanl,60191,60191,60191,60191,60191,60191
misc,d-pretok,194503,193857,193278,194484,194251,194251
misc,dtoc,25119,25119,25119,25119,25119,25119
misc,Dubcova1,18425,18425,18424,18536,18536,18536
misc,Dubcova2,69775,69705,69704,69815,69815,69815
misc,Dubcova3,153964,153714,153714,155740,154278,154278
misc,dw1024,2636,2636,2636,2680,2680,2680
misc,dw2048,2652,2652,2652,2689,2689,2689
misc,dw4096,9590,9589,9588,9664,9664,9664
misc,dw8192,9583,9583,9583,9647,9647,9647
misc,e18,77329,76509,75625,77131,76818,76818
misc,e40r0100,23121,23112,23112,23593,23593,23593
misc,eat,82350,82313,82313,82359,82354,82354
misc,EAT-RS,82594,82546,82522,82606,82599,82599
misc,EAT-SR,82539,82485,82485,82552,82552,82552
misc,ecl32,55132,55037,55032,55149,55149,55149
misc,edit-dewiki,37147,36724,36518,37360,37141,37141
misc,edit-dewiktionary,153335,153301,153189,153283,153196,153196
misc,edit-enwikibooks,18994,18584,18566,19384,19384,19384
misc,edit-enwikinews,176106,175194,174973,175908,175264,175166
misc,edit-enwikiquote,116387,113726,113202,118754,116998,116998
misc,edit-eswiki,41896,41814,41729,41939,41939,41939
misc,edit-frwiki,285157,285055,284841,285157,285061,284901
misc,edit-frwikibooks,33252,33063,33062,33210,33206,33206
misc,edit-frwikinews,27474,27448,27448,27489,27489,27489
misc,elec,20555,20548,20548,20565,20565,20565
misc,email-Enron,53581,52543,51372,52911,52377,52377
misc,email-EuAll,282322,281957,281880,282350,282116,282116
misc,enron,89090,87997,86740,89784,87511,87511
misc,epb0,2110,2110,2110,2190,2190,2190
misc,epb1,16547,16546,16546,16642,16642,16642
misc,epb2,28503,28503,28503,28543,28543,28543
misc,epb3,88381,88354,88337,88387,88387,88387
misc,epinions,214365,214256,214184,214365,214329,214327
misc,epinions-rating,273099,271193,268293,273098,271639,268275
misc,escorts,22717,22160,22160,22595,22595,22595
misc,EternityII-A,181175,180986,180861,181182,181116,181116
misc,EternityII-E,316034,315916,304258,313540,313472,305331
misc,EternityII-Etilde,250653,250583,250322,250653,250635,250635
misc,eurqsa,9555,9533,9512,10015,10015,10015
misc,ex10,3579,3579,3579,3650,3650,3650
misc,ex10hs,3761,3761,3761,3792,3792,3792
misc,ex11,27248,27104,27104,28090,27730,27730
misc,ex12,5438,5438,5438,5660,5660,5660
misc,ex13,4103,4103,4103,4156,4156,4156
misc,ex14,4857,4857,4857,4875,4875,4875
misc,ex15,8538,8538,8538,8544,8544,8544
misc,ex18,7124,7124,7124,7179,7179,7179
misc,ex19,13703,13703,13703,13709,13709,13709
misc,ex20,3627,3626,3626,3639,3639,3639
misc,ex23,2540,2540,2540,2614,2614,2614
misc,ex24,3465,3465,3465,3500,3500,3500
misc,ex26,4120,4120,4120,4176,4176,4176
misc,ex28,3869,3869,3869,3914,3914,3914
misc,ex29,3581,3581,3581,3636,3636,3636
misc,ex3,3099,3099,3099,3137,3137,3137
misc,ex31,5598,5598,5596,5609,5609,5609
misc,ex33,2535,2535,2535,2646,2646,2646
misc,ex35,21528,21527,21527,21585,21585,21585
misc,ex36,4303,4303,4303,4317,4317,4317
misc,ex37,3671,3671,3646,3680,3680,3680
misc,ex3sta1,41361,41361,41354,41364,41364,41364
misc,EX4,10665,10636,10636,10915,10915,10915
misc,ex40,14703,14703,14702,14759,14756,14756
misc,EX5,23580,23432,23432,23914,23914,23914
misc,EX6,23647,23372,23372,24147,24147,24147
misc,ex7,3214,3214,3214,3257,3257,3257
misc,ex8,5132,5132,5131,5203,5203,5203
misc,ex9,5066,5066,5066,5116,5116,5116
misc,exdata-1,21429,20969,20865,21439,20961,20961
misc,extr1,5875,5818,5777,6049,6049,6049
misc,extr1b,5844,5800,5772,6041,6041,6041
misc,f855-mat9,17137,17092,17092,17350,17350,17350
misc,f855-mat9-I,16542,16530,16530,16712,16712,16712
misc,FA,26260,24854,23881,26144,26144,26144
misc,facebook-wosn-links,165094,164759,157105,160027,160015,154293
misc,facebook-wosn-wall,87584,83228,79612,85218,82881,82881
misc,fd12,18158,17576,17213,18630,18630,18630
misc,fd15,28333,27200,26640,28580,28580,28580
misc,fd18,39933,38572,37624,40037,40037,40037
misc,fe-4elt2,12478,12478,12478,12545,12545,12545
misc,fe-body,46821,46811,46811,46886,46886,46886
misc,FEM-3D-thermal1,24842,24758,24758,24935,24935,24935
misc,FEM-3D-thermal2,70647,59759,59735,60581,60074,60074
misc,fem-filter,93607,90837,89367,93470,90685,90616
misc,fe-ocean,159489,159410,159329,159514,159444,159444
misc,fe-rotor,114465,112581,112263,112970,112454,112454
misc,fe-sphere,18420,18416,18416,18552,18552,18552
misc,fe-tooth,89249,88898,88799,89209,88975,88975
misc,filter2D,2113,2113,2113,2156,2156,2156
misc,filter3D,129618,120409,120331,129618,120485,120485
misc,finan512,78764,78523,78522,78779,78779,78779
misc,finance256,41104,41088,41087,41201,41201,41201
misc,flickr,1044489,1044489,1004077,1044493,1018978,1005724
misc,flickrEdges,252742,252672,252160,252749,252738,252416
misc,flickr-groupmemberships,1085767,1085767,1084749,1085767,1085767,1085426
misc,flickr-links,334024,334012,326684,334024,334024,333899
misc,flower-4-4,11068,10970,10969,11244,11244,11244
misc,flower-5-4,28744,28367,28108,28871,28871,28871
misc,flower-7-4,128233,120356,117241,122606,120612,120612
misc,flower-8-4,229950,218524,214773,220714,219013,217529
misc,flowmeter0,11069,11069,11069,11138,11138,11138
misc,flowmeter5,11072,11072,11069,11138,11138,11138
misc,foldoc,31213,29786,29228,32126,32126,32126
misc,fome11,48612,47617,46965,48687,48687,48687
misc,fome12,92321,91322,89779,92508,91800,91800
misc,fome13,180476,171955,170284,174202,171971,171829
misc,fome20,154528,154378,154127,154564,154471,154471
misc,fome21,303319,302748,302349,303319,302841,302841
misc,ford1,20165,20163,20163,20200,20200,20200
misc,ford2,103901,103801,103787,103900,103885,103885
misc,fp,16980,16949,16949,16988,16983,16983
misc,fpga-trans-02,1556,1554,1554,1560,1560,1560
misc,Franz10,46147,44575,43379,46208,45697,45697
misc,Franz11,163030,144555,134359,149185,144809,138737
misc,Franz2,13404,13198,13111,13840,13840,13840
misc,Franz4,25274,25133,25133,25511,25511,25511
misc,Franz5,20599,20437,20393,20829,20829,20829
misc,Franz6,22726,22456,22366,22933,22933,22933
misc,Franz7,19708,19520,19427,19898,19898,19898
misc,Franz8,50041,49469,49152,50070,50070,50070
misc,Franz9,43254,42478,42422,43226,43181,43181
misc,fs-EAT-SR,82214,82122,81983,82228,82218,82218
misc,fs-FA,26650,26284,26284,26094,26094,26094
misc,fv1,11325,11325,11325,11399,11399,11399
misc,fv2,11507,11503,11497,11566,11566,11566
misc,fv3,11507,11507,11507,11628,11628,11628
misc,fxm2-16,12003,11980,11970,12035,12035,12035
misc,fxm2-6,5250,5241,5241,5328,5328,5328
misc,fxm3-16,128398,128394,128384,128401,128401,128401
misc,fxm3-6,6177,6177,6177,6195,6195,6195
misc,fxm4-6,70511,70464,70455,70567,70567,70567
misc,G22,10387,10221,10132,11284,11284,11284
misc,G23,10384,10149,10061,11269,11269,11269
misc,G24,10364,10177,10086,11281,11281,11281
misc,G25,10354,10165,10044,11267,11267,11267
misc,G26,10318,10104,10013,11271,11271,11271
misc,G27,10356,10172,10067,11244,11244,11244
misc,G28,10328,10129,10054,11269,11269,11269
misc,G29,10360,10142,10033,11159,11159,11159
misc,G2-circuit,158011,157786,157625,158114,157861,157861
misc,G30,10385,10176,10082,11264,11264,11264
misc,G31,10346,10138,10058,11230,11230,11230
misc,G3-circuit,169183,169148,169109,169173,169166,169166
misc,g3rmt3m3,7820,7820,7818,7841,7841,7841
misc,G56,10533,10245,10092,11089,11089,11089
misc,G58,12851,12846,12846,13106,12655,12655
misc,G59,12586,12378,12296,12649,12649,12649
misc,G60,14652,14244,13990,15193,15193,15193
misc,G61,14665,14194,13978,15185,15185,15185
misc,G62,8130,8130,8130,8191,8191,8191
misc,G63,17932,17781,17781,17637,17637,17637
misc,G64,17864,17826,17826,17612,17612,17612
misc,G65,9191,9162,9134,9262,9262,9262
misc,G66,10262,10220,10196,10319,10319,10319
misc,G67,11373,11327,11278,11446,11446,11446
misc,g7jac010,4952,4932,4922,5139,5139,5139
misc,g7jac010sc,5022,5021,5021,5163,5163,5163
misc,g7jac020,9341,9341,9341,9543,9543,9543
misc,g7jac020sc,9339,9339,9339,9543,9543,9543
misc,g7jac040,17754,17626,17626,18057,18057,18057
misc,g7jac040sc,17770,17637,17633,18013,18013,18013
misc,g7jac050sc,22100,21815,21694,21969,21969,21969
misc,g7jac060,26375,26004,25930,26412,26412,26412
misc,g7jac060sc,26369,26025,25973,26382,26382,26382
misc,g7jac080,34301,33796,33681,34328,34225,34225
misc,g7jac080sc,34264,33812,33747,34330,34273,34273
misc,g7jac100,42143,41588,41507,42112,42004,42004
misc,g7jac100sc,42109,41586,41482,41805,41318,41318
misc,g7jac120,49711,49028,48851,49581,49254,49254
misc,g7jac120sc,49597,48986,48856,49625,49330,49330
misc,g7jac140,57577,56885,56616,57650,57308,57308
misc,g7jac140sc,57581,56860,56672,57798,57348,57348
misc,g7jac160,68703,63837,63549,64602,64066,64066
misc,g7jac160sc,68703,63907,63652,64602,64142,64142
misc,g7jac180,76778,71968,71552,72759,71413,71413
misc,g7jac180sc,76778,71870,71564,72759,72058,72058
misc,g7jac200,85941,80242,79784,81628,79190,79182
misc,g7jac200sc,85941,80132,79754,81628,79341,79341
misc,Ga19As19H42,256907,256410,243475,256802,254151,246710
misc,GaAsH6,130281,130183,129695,130281,130259,130259
misc,garon1,4930,4930,4930,4997,4997,4997
misc,garon2,16689,16689,16684,16751,16751,16751
misc,gas-sensor,93033,85107,84484,87905,85024,85024
misc,ge,28584,28517,28469,28619,28619,28619
misc,Ge87H76,134511,124413,122242,127437,124520,123721
misc,Ge99H100,229879,229774,217204,229890,225072,217577
misc,gemat1,16908,16908,16908,17021,17021,17021
misc,gemat11,12338,12184,12183,12655,12655,12655
misc,gemat12,12298,12161,12155,12627,12627,12627
misc,gen,10150,10131,10119,10306,10306,10306
misc,gen1,10045,10028,10028,10296,10296,10296
misc,gen2,12668,12646,12646,12863,12863,12863
misc,gen4,15672,15612,15612,15910,15910,15910
misc,github,205130,204404,204294,205117,204456,204313
misc,GL7d12,20067,18908,18523,20621,20621,20621
misc,GL7d13,173746,158048,148359,161341,155701,150707
misc,GL7d14,830136,830136,705308,830136,719399,700993
misc,GL7d22,921990,921700,845114,921990,861230,844893
misc,GL7d24,286864,286864,252238,265478,265473,253019
misc,GL7d25,41392,39724,38671,41636,41551,41551
misc,goodwin,10506,10506,10506,10612,10612,10612
misc,gottron-excellent,379571,379571,379570,379571,379571,379571
misc,graham1,12605,12605,12605,12765,12765,12765
misc,graphics,42666,42601,42541,42750,42750,42750
misc,gridgena,53311,53163,53157,53332,53332,53332
misc,GT01R,13521,13521,13521,13537,13537,13537
misc,gupta1,51364,50579,50537,51604,51314,51302
misc,gupta2,99943,99224,98596,99932,99232,98999
misc,gyro,22940,22721,22721,22928,22768,22768
misc,gyro-k,22892,22538,22538,22919,22760,22760
misc,gyro-m,19223,19220,19220,19291,19291,19291
misc,H2O,141635,141339,140863,141635,141442,141442
misc,Hamrle2,11668,11523,11429,11860,11860,11860
misc,Hamrle3,951385,950131,949615,950687,950110,949772
misc,hcircuit,106499,106475,106467,106494,106494,106494
misc,heart1,14830,14683,14638,15342,15339,15339
misc,heart2,9346,9301,9300,9366,9366,9366
misc,heart3,9300,9243,9243,9364,9362,9362
misc,helm2d03,402923,401165,401058,402923,401183,401165
misc,helm3d01,40418,40082,40079,40439,40439,40439
misc,hep-th,8894,8876,8876,9021,9021,9021
misc,HEP-th-new,63126,58878,56675,60253,58300,58300
misc,HTC-336-4438,229688,229336,229268,229688,229352,229352
misc,HTC-336-9129,230767,229267,229262,229929,229394,229394
misc,hugetrace-00000,621729,621729,621729,621729,621729,621729
misc,hvdc1,25644,25639,25639,25688,25688,25688
misc,hvdc2,191630,191547,191541,191632,191556,191556
misc,hydr1,10658,10517,10456,10914,10914,10914
misc,hydr1c,10651,10549,10471,10907,10907,10907
misc,ibm-matrix-2,65964,65900,65900,65953,65953,65953
misc,IG5-11,7324,7324,7324,7578,7578,7578
misc,IG5-12,13498,13461,13461,13875,13875,13875
misc,IG5-13,23069,22682,22682,23442,23442,23442
misc,IG5-14,38995,38456,38456,39336,39336,39336
misc,IG5-15,64618,63611,63177,64649,64571,64571
misc,IG5-16,105784,101864,97505,105817,101812,100795
misc,IG5-17,166698,162029,157481,166684,162670,158743
misc,IG5-18,260054,259912,246406,260058,259833,247123
misc,igbt3,13292,13261,13261,13311,13311,13311
misc,Ill-Stokes,26468,26277,26277,26743,26743,26743
misc,image-interp,363873,362676,362646,363873,362680,362680
misc,init-adder1,2410,2410,2407,2445,2445,2445
misc,inlet,15684,15684,15684,15761,15761,15761
misc,ins2,310189,310177,310176,310189,310189,310189
misc,internet,129285,129245,129174,129319,129269,129269
misc,invextr1-new,44903,44227,44227,48003,45404,45404
misc,italy-osm,1163830,1163830,1163830,1163830,1163830,1163830
misc,jan99jac020,9318,9283,9261,9463,9463,9463
misc,jan99jac020sc,9322,9283,9270,9464,9464,9464
misc,jan99jac040,18276,18198,18185,18487,18487,18487
misc,jan99jac040sc,18284,18229,18069,18471,18471,18471
misc,jan99jac060,26884,26676,26644,27074,27074,27074
misc,jan99jac060sc,26964,26746,26725,27072,27072,27072
misc,jan99jac080,35616,35038,35031,35404,35404,35404
misc,jan99jac080sc,35343,34996,34962,35348,35348,35348
misc,jan99jac100,43794,43413,43368,43781,43741,43741
misc,jan99jac100sc,43657,43210,43078,43978,43978,43978
misc,jan99jac120,52081,51352,51201,52031,51988,51988
misc,jan99jac120sc,52032,51562,51416,51987,51960,51960
misc,jendrec1,9935,9935,9935,9898,9898,9898
misc,jester1,78833,78832,78832,78833,78832,78832
misc,jester2,56408,56408,56408,56408,56408,56408
misc,jnlbrng1,42658,42618,42601,42686,42686,42686
misc,juba40k,39464,39449,39448,39471,39471,39471
misc,k1-san,72526,72446,72431,72552,72552,72552
misc,k3plates,14157,14142,14142,14245,14245,14245
misc,karted,201556,200497,200014,201556,200533,200533
misc,Kaufhold,9124,9123,9123,9151,9151,9151
misc,Kemelmacher,42099,42011,41985,42149,42149,42149
misc,kim1,45050,44883,44883,44980,44974,44974
misc,kim2,65648,65427,65417,65697,65610,65573
misc,kkt-power,161085,160989,160974,161010,160986,160976
misc,kl02,39122,39117,39116,39136,39136,39136
misc,kneser-10-4-1,709710,709000,708746,709378,709041,708848
misc,kneser-8-3-1,35186,34913,34726,35262,35262,35262
misc,kron-g500-logn16,206877,206834,206788,206877,206877,206876
misc,Kuu,9718,9718,9718,9754,9754,9754
misc,l30,20278,20266,20266,20403,20403,20403
misc,L-9,19654,19635,19592,19702,19702,19702
misc,laminar-duct3D,96628,86330,85968,90516,86325,86325
misc,landmark,79532,79318,79304,79506,79477,79477
misc,language,507272,506163,491884,501517,498850,491033
misc,large,12771,12733,12732,12880,12880,12880
misc,lasagne-spanishbook,18787,18599,18591,19106,19106,19106
misc,Lederberg,14035,13633,13529,14219,14219,14219
misc,LF10000,20124,20124,20124,20124,20124,20124
misc,LFAT5000,20099,20099,20099,20099,20099,20099
misc,lhr01,4498,4466,4466,4720,4720,4720
misc,lhr02,7553,7481,7438,7773,7773,7773
misc,lhr04,11225,11071,10950,11456,11456,11456
misc,lhr04c,11242,11049,10976,11459,11459,11459
misc,lhr07,17660,17229,17068,17718,17718,17718
misc,lhr07c,17647,17268,17070,17856,17856,17856
misc,lhr10,25164,24723,24597,25279,25279,25279
misc,lhr10c,25153,24716,24656,25267,25267,25267
misc,lhr11,25672,25226,25029,25734,25715,25715
misc,lhr11c,25694,25291,25026,25847,25847,25847
misc,lhr14,32176,31631,31328,32194,32141,32141
misc,lhr14c,32180,31591,31337,32110,32103,32103
misc,lhr17,38986,38439,38063,38955,38776,38776
misc,lhr17c,39058,38450,38090,38955,38831,38831
misc,lhr34,72037,67930,67308,69035,68012,68012
misc,lhr34c,72037,67962,67262,69035,68112,68112
misc,lhr71,128792,122517,121556,128792,122399,122313
misc,lhr71c,128792,122539,121480,128792,122441,122350
misc,li,41616,40862,40773,41646,41005,41005
misc,light-in-tissue,32642,32582,32566,32688,32688,32688
misc,Lin,285211,285170,285130,285212,285192,285192
misc,linux,45520,44852,44586,45459,45222,45222
misc,linverse,12188,12188,12188,12188,12188,12188
misc,lkml-person-thread,364955,364255,364115,364955,364376,364038
misc,lkml-reply,44943,44858,44858,44966,44966,44966
misc,lns-3937,5209,5204,5201,5310,5310,5310
misc,lnsp3937,5208,5203,5200,5297,5297,5297
misc,loc-brightkite-edges,90950,88405,85704,89532,87600,87600
misc,loc-gowalla-edges,304705,303722,292562,295446,295412,287896
misc,lock1074,2696,2696,2696,2758,2758,2758
misc,lock2232,3801,3801,3798,3940,3940,3940
misc,lock3491,5931,5931,5931,5954,5954,5954
misc,lp1,534451,534451,534451,534451,534451,534451
misc,lp22,28988,28855,28576,28976,28976,28976
misc,lp-80bau3b,15383,15352,15342,15413,15413,15413
misc,lp-bnl2,8040,8024,8016,8077,8077,8077
misc,lp-cre-a,12140,12130,12130,12233,12233,12233
misc,lp-cre-b,93518,93280,93157,93563,93451,93451
misc,lp-cre-c,10904,10863,10835,11008,11008,11008
misc,lp-cre-d,89812,89586,89425,89741,89732,89732
misc,lp-cycle,6794,6766,6744,6872,6872,6872
misc,lp-d2q06c,9864,9835,9809,9941,9941,9941
misc,lp-d6cube,10533,10293,10217,10834,10834,10834
misc,lp-degen3,6884,6820,6812,7080,7080,7080
misc,lp-dfl001,25230,24603,24350,25469,25469,25469
misc,lp-fit2d,11720,11720,11720,11720,11720,11720
misc,lp-fit2p,17679,17679,17678,17681,17681,17681
misc,lp-greenbea,10394,10378,10363,10536,10536,10536
misc,lp-greenbeb,10417,10396,10391,10531,10531,10531
misc,lpi-bgindy,19093,19000,18986,19243,19243,19243
misc,lpi-ceria3d,10239,10157,10098,10429,10429,10429
misc,lpi-gosh,21772,21750,21692,21790,21790,21790
misc,lpi-gran,6453,6453,6453,6483,6483,6483
misc,lpi-greenbea,10331,10286,10270,10475,10475,10475
misc,lp-ken-11,39244,39236,39236,39271,39271,39271
misc,lp-ken-13,77075,76912,76755,77109,77109,77109
misc,lp-ken-18,270217,270063,269903,270191,270161,270161
misc,lpl1,41399,41075,41027,41483,41483,41483
misc,lpl2,16751,16746,16745,16771,16771,16771
misc,lpl3,49637,49606,49602,49659,49659,49659
misc,lp-maros-r7,20423,20191,19812,20997,20990,20990
misc,lp-nug12,21585,21508,21498,21718,21718,21718
misc,lp-nug15,47923,47739,47653,47986,47986,47986
misc,lp-nug20,134145,133640,133295,134137,133959,133959
misc,lp-nug30,593846,592091,591254,593846,592223,591725
misc,lp-osa-07,29832,29741,29741,29927,29927,29927
misc,lp-osa-14,61062,60864,60759,61075,61075,61075
misc,lp-osa-30,112773,112727,112492,112779,112778,112778
misc,lp-osa-60,257645,257637,257537,257645,257645,257645
misc,lp-pds-02,12296,12280,12280,12405,12405,12405
misc,lp-pds-06,44542,44392,44303,44601,44601,44601
misc,lp-pds-10,74122,74000,73844,74170,74170,74170
misc,lp-pds-20,154518,154343,154097,154534,154447,154447
misc,lp-pilot,10133,10073,10034,10236,10236,10236
misc,lp-pilot87,13908,13762,13663,14041,14041,14041
misc,lp-pilot-ja,4868,4855,4855,4941,4941,4941
misc,lp-pilotnov,4892,4885,4885,5002,5002,5002
misc,lp-qap12,21739,21667,21616,21857,21857,21857
misc,lp-qap15,47780,47633,47592,47874,47874,47874
