The table shows the |V(S)| value for each algorithm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domains,Instance Name,Vertex,Edge,METIS_G,,,METIS_F,,,SPAC_G,,,SPAC_F,,,SHEEP_G,,,SHEEP_F,,,NE_G,,,NE_F,,,ParHS-BGEP,,
,,,,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s
misc,crew1,6604,46950,11452,11452,11452,11542,11540,11536,9288,9288,9288,9282,9282,9282,10740,10740,10740,10739,10739,10739,13306,13306,13306,13306,13306,13306,9127,9125,9122
misc,crplat2,18010,471468,24310,24310,24310,25006,25001,25001,26062,26062,26062,26026,26026,26026,36333,36333,36333,36510,36510,36510,25349,25349,25349,25258,25256,25256,24066,23998,23998
misc,cryg10000,10000,19900,11400,11400,11400,11396,11396,11396,11427,11427,11427,11426,11426,11426,15505,15505,15505,14920,14920,14920,11353,11353,11353,11353,11353,11353,11284,11284,11284
misc,cryg2500,2500,4950,3196,3196,3196,3195,3195,3195,3215,3215,3215,3215,3215,3215,4478,4478,4478,4414,4414,4414,3156,3156,3156,3156,3156,3156,3100,3100,3100
misc,crystk01,4875,155508,10778,10778,10778,11241,11239,11239,12602,12602,12602,12576,12572,12572,17894,17894,17894,18040,18040,18040,10189,10189,10189,10188,10188,10188,10143,10143,10143
misc,crystk02,13965,477309,24486,24486,24486,26160,26146,26146,30749,30749,30749,30530,30516,30502,38987,38987,38987,39500,39500,39500,25479,25479,25479,25479,25479,25479,24602,24483,24483
misc,crystk03,24696,863241,39026,39026,39026,41663,41663,41657,48499,48499,48499,48327,48320,48320,57861,57861,57861,58011,58011,58011,41428,41428,41428,41427,41427,41427,39411,38852,38851
misc,crystm01,4875,50232,7697,7697,7697,7786,7786,7786,9267,9267,9267,9217,9217,9217,11053,11053,11053,11038,11038,11038,7974,7974,7974,7974,7974,7974,7506,7506,7506
misc,crystm02,13965,154470,19551,19551,19551,19772,19772,19772,23829,23829,23829,23818,23818,23818,25969,25969,25969,25986,25986,25986,20905,20905,20905,20905,20905,20905,19136,19136,19136
misc,crystm03,24696,279537,32458,32458,32458,32873,32872,32872,37303,37303,37303,37303,37303,37303,41295,41295,41295,41442,41442,41442,34714,34714,34714,34714,34714,34714,31941,31760,31745
misc,cs4,22499,43858,26651,26651,26651,26650,26650,26650,26576,26576,26576,26573,26573,26573,34161,34161,34161,33669,33669,33669,27273,27273,27273,27273,27273,27273,26346,26268,26233
misc,ct20stif,52329,1323067,63515,63515,63515,63671,63648,63626,64148,64148,64148,64154,64148,64139,135625,135625,135625,139287,137431,136430,66175,66175,66175,66171,65885,65885,63334,62946,62939
misc,cti,16840,48232,22054,22054,22054,22048,22048,22048,22076,22076,22076,22074,22074,22074,28553,28553,28553,28527,28524,28524,21728,21728,21728,21728,21728,21728,21594,21548,21548
misc,cvxbqp1,50000,149984,54423,54423,54423,54394,54394,54394,54567,54567,54567,54546,54546,54546,90313,90313,90313,92775,92143,91612,67219,67219,67219,67205,67205,67205,54162,54073,54062
misc,cvxqp3,17500,52481,25078,25078,25078,24940,24940,24940,26594,26594,26594,26564,26564,26564,40105,40105,40105,38690,38653,38653,26519,26519,26519,26519,26519,26519,24451,23787,23666
misc,cyl6,13681,350280,18611,18611,18611,19197,19181,19181,19520,19520,19520,19490,19490,19490,21059,21059,21059,21063,21063,21063,19444,19444,19444,19442,19442,19442,18463,18463,18463
misc,D6-6,69540,146880,70069,70069,70069,70069,70069,70069,99576,97855,97855,85808,73939,73939,98194,97731,97731,85777,85777,85777,71210,71210,71210,71210,71210,71210,70003,70002,70002
misc,dano3mip,19053,81633,35689,35689,35689,35596,35595,35587,29695,29695,29695,29687,29687,29687,43586,43586,43586,43602,43589,43589,40262,40262,40262,40262,40262,40262,29508,29407,29291
misc,darcy003,389874,933557,394562,394562,394562,394567,394567,394567,394409,394409,394409,394410,394409,394409,459132,456091,456091,462390,449873,440244,401655,401655,401655,401641,401641,401641,394410,394286,394182
misc,dawson5,51249,479620,56750,56750,56750,56840,56840,56838,58215,58215,58215,58103,58103,58103,94126,94126,94126,96411,95709,90816,64834,64834,64834,64315,64178,64178,56300,56129,56129
misc,dbic1,269517,1081843,301171,301171,301171,300979,300976,300959,290743,290743,290743,290710,290710,290710,367296,367296,367296,371338,367665,365936,290988,290988,290988,290988,290988,290988,290714,290239,290183
misc,dbir1,64579,1077025,88939,88718,88718,106034,89588,89404,94537,94537,94537,95151,94390,94359,176642,176305,176305,176407,176236,175815,92900,92900,92900,92900,92900,92900,89536,86255,82057
misc,dbir2,64783,1158159,90541,90133,90133,114122,91351,91238,97094,97094,97094,97395,96305,96305,181649,181649,181649,182249,182194,181751,92844,92844,92844,92844,92844,92844,90021,87348,85495
misc,dblp-2010,300647,807700,343260,343201,343201,342263,342155,342152,344452,343438,343438,343560,343227,343223,413570,396277,396277,416713,382042,380519,350550,350550,350550,350550,350550,350550,342820,340951,338317
misc,dblp-author,4000150,8649002,6415291,6144384,5962174,6629695,6461389,5954380,6385524,6125183,6122167,6518163,6408166,6130392,7007606,6993556,6965781,7009681,7009436,6987587,6210388,6210388,6210388,6210388,6210388,6210388,6210394,6161570,5897617
misc,dblp-cite,12591,49620,21290,21290,21290,21027,21023,21023,23285,23285,23285,23280,23193,23185,36101,36101,36101,36101,36101,36101,22116,22116,22116,22116,22116,22116,20648,19915,19585
misc,dbpedia-country,590112,624401,591460,591460,591460,591462,591461,591461,593267,593267,593267,593271,593268,593260,591053,591053,591053,591066,591066,591066,603117,603117,603117,603117,603117,603101,591032,591003,590989
misc,dbpedia-genre,258770,463488,272871,272871,272871,272829,272820,272815,286169,286169,286169,286303,286281,286252,268859,268859,268859,268859,268859,268858,307865,307865,307865,307865,307865,307865,268859,268739,268668
misc,dbpedia-location,172079,293672,206280,206280,206280,206131,206131,206124,212774,212774,212774,213058,212970,212905,201412,201412,201412,201275,201275,201275,198124,198124,198124,198080,198080,198080,197876,197536,197369
misc,dbpedia-occupation,127575,250937,160793,160793,160793,158530,158530,158467,159443,159443,159443,159675,159629,159627,143882,143882,143882,143882,143882,143882,155538,155538,155538,155570,155570,155570,143787,143666,143654
misc,dbpedia-producer,138841,207261,171883,171883,171883,171858,171844,171824,173307,173307,173307,173339,173316,173285,180464,180464,180464,179535,179523,179502,173260,173260,173260,173243,173243,173243,170944,170037,168652
misc,dbpedia-recordlabel,168277,233271,186827,186827,186827,186861,186841,186807,192064,192064,192064,192233,192152,192119,183419,183419,183419,183311,183311,183311,185070,185070,185070,185074,185074,185074,183072,182209,182066
misc,dbpedia-starring,81085,281374,199569,199569,199569,198874,198617,198583,199344,199344,199344,199620,199209,199207,245688,238758,238758,245468,244667,244667,198251,198251,198251,198251,198251,198251,198050,196354,190667
misc,dbpedia-team,901132,1366464,969847,959874,959874,961841,959302,959299,990036,989368,989368,989756,989756,989693,1009405,1009405,1009405,1009405,1009405,1009405,988949,988949,988949,988949,988949,988949,967991,958743,956835
misc,dbpedia-writer,89356,144330,121245,121245,121245,121240,121234,121230,120910,120910,120910,120926,120914,120914,128761,128761,128761,128278,128225,128159,123562,123562,123562,123562,123562,123562,120200,119521,117990
misc,dc1,116835,372118,131919,131919,131919,130062,130062,130062,118843,118843,118843,118845,118845,118845,124986,124986,124986,124986,124986,124986,159671,159671,159671,159668,159668,159668,118843,118843,118843
misc,dc2,116835,372118,131919,131919,131919,130062,130062,130062,118843,118843,118843,118845,118845,118845,124986,124986,124986,124986,124986,124986,161726,161726,161726,161726,161726,161726,118843,118843,118843
misc,dc3,116835,372118,131919,131919,131919,130062,130062,130062,118843,118843,118843,118845,118845,118845,124986,124986,124986,124986,124986,124986,158270,158270,158270,158268,158268,158268,118843,118843,118843
misc,debr,1048576,2097149,1265057,1245394,1245394,1245876,1245821,1245538,1222072,1219533,1219533,1219588,1219563,1219539,2328996,1809923,1729914,2405998,1744198,1698171,1489705,1489705,1489705,1489705,1489705,1489705,1227291,1217644,1209520
misc,degme,223687,2067280,229116,229116,229116,229120,229118,229118,324696,324696,324696,324695,324695,324695,408977,408977,408977,408964,408961,408961,303440,303440,303440,303440,303256,302995,229118,228869,228694
misc,delaunay-n13,8192,24547,9396,9396,9396,9366,9366,9366,9450,9450,9450,9448,9448,9448,11422,11422,11422,11266,11266,11266,9485,9485,9485,9485,9485,9485,9290,9286,9286
misc,delaunay-n14,16384,49122,18094,18094,18094,18064,18064,18064,18187,18187,18187,18181,18181,18181,22312,22312,22312,22475,22475,22475,18242,18242,18242,18242,18242,18242,17946,17941,17941
misc,delaunay-n15,32768,98274,35196,35196,35196,35129,35129,35129,35317,35317,35317,35309,35309,35309,41635,41635,41635,42234,42225,42225,35626,35626,35626,35626,35626,35626,34979,34945,34939
misc,delaunay-n16,65536,196575,68958,68958,68958,68878,68878,68878,69062,69062,69062,69057,69057,69057,85398,85398,85398,86418,85407,85407,69707,69707,69707,69699,69699,69699,68786,68626,68626
misc,delaunay-n17,131072,393176,135851,135851,135851,135730,135730,135730,136141,136141,136141,136135,136135,136135,175279,175279,175279,182841,173166,173162,137561,137561,137561,137561,137561,137561,135712,135469,135426
misc,delaunay-n18,262144,786396,268936,268936,268936,268756,268755,268755,269363,269363,269363,269346,269346,269346,336230,336230,336230,356189,343004,333491,271397,271397,271397,271293,271293,271293,268771,268610,268306
misc,delaunay-n19,524288,1572823,534063,534063,534063,533794,533794,533794,534529,534529,534529,534512,534512,534512,728980,716334,716334,735959,724470,693522,538553,538553,538553,538465,538465,538465,533816,533635,533140
misc,delf,8768,15397,9946,9946,9946,9931,9931,9931,10086,10086,10086,10077,10077,10077,11857,11857,11857,11873,11873,11873,10229,10229,10229,10214,10214,10214,9819,9801,9790
misc,delicious-ut,194763,1539257,566431,388803,388803,534550,383430,383387,448026,436412,436412,438382,433855,433817,466666,466666,466666,466666,466666,466666,347808,347808,347808,347804,347804,347804,347804,347742,347511
misc,deltaX,90561,247424,112024,112024,112024,111888,111852,111850,107733,107733,107733,107732,107723,107723,141927,141927,141927,141640,141640,141638,108117,108117,108117,108117,108117,108117,107571,106374,104870
misc,denormal,89400,533412,97500,97500,97500,97509,97509,97509,100141,100141,100141,100113,100113,100113,126895,126895,126895,126893,126893,126893,97812,97812,97812,97812,97812,97812,97351,96984,96954
misc,descriptor-xingo6u,19950,35475,20478,20478,20478,20467,20467,20467,20442,20442,20442,20442,20442,20442,20773,20773,20773,20735,20735,20735,20714,20714,20714,20711,20711,20711,20411,20409,20406
misc,deter0,7391,11173,8534,8534,8534,8531,8531,8531,8288,8288,8288,8288,8288,8288,8090,8090,8090,8090,8090,8090,8527,8527,8527,8523,8523,8523,8060,8060,8060
misc,deter1,21264,32187,22639,22639,22639,22580,22580,22580,22379,22379,22379,22315,22315,22315,22542,22542,22542,22537,22537,22537,22836,22836,22836,22787,22787,22787,22286,22268,22268
misc,deter2,23408,35731,25001,25001,25001,24986,24986,24986,24832,24832,24832,24832,24832,24832,26753,26753,26753,26536,26536,26536,25327,25327,25327,25289,25289,25289,24729,24728,24728
misc,deter3,29424,44547,30856,30856,30856,30837,30837,30837,30724,30724,30724,30716,30716,30716,32289,32289,32289,32299,32299,32299,31430,31430,31430,31365,31365,31365,30642,30640,30640
misc,deter4,12368,19231,13596,13596,13596,13593,13593,13593,13487,13487,13487,13487,13487,13487,13900,13900,13900,13814,13814,13814,13893,13893,13893,13893,13893,13893,13456,13456,13456
misc,deter5,19632,29715,20900,20900,20900,20900,20900,20900,20834,20834,20834,20829,20829,20829,20865,20865,20865,20859,20859,20859,21284,21284,21284,21212,21212,21212,20624,20624,20624
misc,deter6,16368,24771,17649,17649,17649,17649,17649,17649,17489,17489,17489,17489,17489,17489,17456,17456,17456,17457,17457,17457,17896,17896,17896,17896,17896,17896,17272,17264,17264
misc,deter7,24528,37131,25659,25659,25659,25607,25607,25607,25518,25518,25518,25518,25518,25518,25427,25427,25427,25427,25427,25427,25815,25815,25815,25654,25654,25654,25415,25415,25415
misc,deter8,14736,22299,16003,16003,16003,15962,15962,15962,15849,15849,15849,15838,15838,15838,15651,15651,15651,15649,15649,15649,16154,16154,16154,16148,16148,16148,15612,15608,15608
misc,df2177,10988,22336,17350,17350,17350,17334,17334,17334,14022,14022,14022,13982,13982,13982,17718,17718,17718,17717,17717,17717,17115,17115,17115,17115,17115,17115,13821,13664,13664
misc,dictionary28,39327,89038,47558,47558,47558,47524,47521,47521,48812,48812,48812,48905,48836,48836,68139,63183,63183,66595,66584,66584,48679,48679,48679,48679,48679,48679,47097,46547,46295
misc,discogs-lgenre,270771,481655,271640,271640,271640,271657,271657,271657,271716,271716,271716,271716,271716,271716,271116,271116,271116,271122,271121,271121,434876,434876,434876,434876,434876,434876,271116,271116,271116
misc,discogs-lstyle,243764,1064659,273078,260290,260290,367686,260189,260165,264502,264502,264502,264517,264517,264517,252632,252632,252632,252632,252632,252632,369010,369010,369010,369010,369010,369010,252632,252632,252630
misc,dixmaanl,60000,119999,60191,60191,60191,60191,60191,60191,60192,60192,60192,60192,60192,60192,120010,120010,120010,120015,120015,120015,60298,60298,60298,60298,60298,60298,60191,60191,60191
misc,d-pretok,182730,756256,194597,194597,194597,194466,194466,194466,194894,194894,194894,194883,194880,194878,235729,235637,235637,235856,235856,235856,200648,200648,200648,200488,200488,200488,194484,193857,193278
misc,dtoc,24993,34986,25119,25119,25119,25119,25119,25119,25119,25119,25119,25119,25119,25119,30029,30029,30029,30019,30019,30019,25181,25181,25181,25176,25176,25176,25119,25119,25119
misc,Dubcova1,16129,118440,18575,18575,18575,18634,18634,18634,19000,19000,19000,18808,18808,18808,30259,30259,30259,31351,31351,31351,19208,19208,19208,19208,19208,19208,18425,18425,18424
misc,Dubcova2,65025,482600,69862,69862,69862,70155,70155,70155,69975,69975,69975,69990,69987,69987,112880,112880,112880,114140,114020,114020,71199,71199,71199,71199,71199,71199,69775,69705,69704
misc,Dubcova3,146689,1744980,153985,153985,153985,154444,154444,154438,154330,154330,154330,154310,154310,154310,193387,193387,193387,195442,195335,195335,155740,155740,155740,155740,155740,155740,153964,153714,153714
misc,dw1024,2048,4094,2715,2715,2715,2714,2714,2714,2727,2727,2727,2725,2725,2725,3377,3377,3377,3234,3234,3234,2681,2681,2681,2683,2683,2683,2636,2636,2636
misc,dw2048,2048,4094,2715,2715,2715,2714,2714,2714,2727,2727,2727,2725,2725,2725,3377,3377,3377,3234,3234,3234,2701,2701,2701,2701,2701,2701,2652,2652,2652
misc,dw4096,8192,17404,9735,9735,9735,9725,9725,9725,9786,9786,9786,9781,9781,9781,11805,11805,11805,11822,11822,11822,9740,9740,9740,9740,9740,9740,9590,9589,9588
misc,dw8192,8192,17404,9735,9735,9735,9725,9725,9725,9786,9786,9786,9781,9781,9781,11805,11805,11805,11822,11822,11822,9680,9680,9680,9680,9680,9680,9583,9583,9583
misc,e18,63218,156466,78039,78039,78039,78033,78030,78030,77730,77730,77730,77724,77715,77715,93194,93194,93194,92658,92626,92478,78402,78402,78402,78378,78378,78378,77329,76509,75625
misc,e40r0100,17281,453697,23537,23537,23537,23745,23733,23733,24271,24271,24271,24042,24042,24042,113428,91580,91580,117237,116405,112543,23593,23593,23593,23593,23593,23593,23121,23112,23112
misc,eat,23132,297094,93164,93164,93164,88339,88336,88332,111808,111808,111808,112347,112346,112346,158144,158144,158144,158071,158067,158067,82364,82364,82364,82364,82364,82364,82350,82313,82313
misc,EAT-RS,23219,304937,92378,92378,92378,88450,88448,88446,113878,113878,113878,113540,113540,113539,159205,159205,159205,158993,158985,158985,82634,82634,82634,82634,82634,82634,82594,82546,82522
misc,EAT-SR,23218,304934,91767,91767,91767,87913,87904,87897,113820,113820,113820,113340,113339,113339,159613,159613,159613,159063,159056,159056,82555,82555,82555,82555,82555,82555,82539,82485,82485
misc,ecl32,42341,177033,56764,56764,56764,56654,56654,56654,57955,57955,57955,58039,58039,58039,107801,107801,107801,109884,109150,109150,55306,55306,55306,55306,55306,55306,55132,55037,55032
misc,edit-dewiki,21450,104119,39132,39132,39132,39314,39314,39314,39624,39624,39624,39530,39528,39487,43256,43256,43256,42957,42957,42957,37443,37443,37443,37443,37443,37443,37147,36724,36518
misc,edit-dewiktionary,145301,687206,163513,163504,163504,163762,163753,163753,164889,164889,164889,165037,164979,164979,153348,153348,153348,153289,153288,153288,332252,332252,332252,332252,332252,332252,153290,153267,153189
misc,edit-enwikibooks,8379,51333,20439,20439,20439,20087,20050,20040,20745,20745,20745,20651,20571,20570,24974,24974,24974,24996,24996,24996,19452,19452,19452,19452,19452,19452,18994,18584,18566
misc,edit-enwikinews,159990,354105,181156,181156,181156,180618,180610,180608,179071,179071,179071,179190,179146,179106,176147,176147,176147,175985,175982,175981,202579,202579,202579,202579,202579,202579,175969,175194,174973
misc,edit-enwikiquote,93445,238421,119997,119997,119997,118683,118680,118675,121133,121133,121133,121176,121139,121015,118830,118830,118830,118830,118830,118829,133672,133672,133672,133672,133672,133672,116387,113726,113202
misc,edit-eswiki,23937,155215,45327,45327,45327,45086,45068,45063,47564,47564,47564,47395,47394,47376,56757,56757,56757,56757,56757,56757,41943,41943,41943,41943,41943,41943,41896,41814,41729
misc,edit-frwiki,94306,2490751,830722,330562,330562,858010,326209,326089,417925,390466,390466,405838,387954,387906,417503,417503,417503,416899,416822,416807,285157,285157,285157,285157,285157,285157,285157,285055,284841
misc,edit-frwikibooks,27754,67579,34174,34174,34174,34093,34092,34068,34816,34816,34816,34914,34891,34842,33948,33948,33948,33827,33826,33826,44015,44015,44015,43973,43954,43954,33252,33063,33062
misc,edit-frwikinews,25042,68675,28791,28791,28791,28750,28748,28737,29033,29033,29033,29049,29049,29049,27599,27599,27599,27599,27599,27599,45381,45381,45381,45381,45381,45381,27474,27448,27448
misc,elec,7115,100693,23998,23998,23998,22116,22115,22110,24514,24514,24514,24598,24598,24586,42693,42693,42693,42421,42421,42421,20567,20567,20567,20567,20567,20567,20555,20548,20548
misc,email-Enron,36692,183831,54207,54207,54207,53557,53550,53523,58938,58938,58938,58732,58693,58681,78549,78549,78549,78550,78549,78549,54693,54693,54693,54693,54693,54693,52900,52543,51372
misc,email-EuAll,265009,364481,283873,283873,283873,288003,284077,284028,293153,293153,293153,294196,292963,292922,283969,283969,283969,283968,283968,283968,282350,282350,282350,282350,282350,282350,282322,281957,281880
misc,enron,69017,254449,91073,91073,91073,89608,89605,89577,90289,90289,90289,90477,90453,90446,118584,118584,118584,118292,118259,118258,90312,90312,90312,90307,90307,90307,89090,87997,86740
misc,epb0,1794,4475,2193,2193,2193,2193,2193,2193,2316,2316,2316,2315,2315,2315,3045,3045,3045,3043,3043,3043,2700,2700,2700,2700,2700,2700,2110,2110,2110
misc,epb1,14734,51027,16685,16685,16685,16651,16651,16651,17081,17081,17081,17080,17080,17080,29609,29609,29609,31423,31423,31423,18227,18227,18227,18222,18222,18222,16547,16546,16546
misc,epb2,25228,99576,29022,29022,29022,29010,29006,29006,28793,28793,28793,28784,28784,28784,44504,44504,44504,45943,45943,45943,29686,29686,29686,29686,29686,29686,28503,28503,28503
misc,epb3,84617,252531,88764,88764,88764,88695,88695,88695,88475,88475,88475,88475,88475,88475,100666,100666,100666,100503,100503,100503,89036,89036,89036,89036,89036,89036,88381,88354,88337
misc,epinions,131580,711210,224221,223712,223712,248805,221060,221024,252430,249300,249300,250793,248014,247957,288150,288150,288150,288189,288175,288173,214365,214365,214365,214365,214365,214365,214365,214256,214184
misc,epinions-rating,93192,1346871,408442,281478,281478,360734,276741,276714,298735,295509,295509,294931,294130,294130,369216,369216,369216,368825,368778,368748,273098,273098,273098,273098,273098,273098,272571,271193,268293
misc,escorts,10106,39016,23549,23549,23549,23286,23282,23282,24253,24253,24253,24188,24188,24188,30378,30378,30378,30715,30715,30715,23147,23147,23147,23147,23147,23147,22717,22160,22160
misc,EternityII-A,158000,782087,190153,190153,190153,189290,189290,189161,218096,218096,218096,217898,217898,217898,252692,252692,252692,252695,252695,252695,181195,181195,181195,181195,181195,181195,181175,180986,180861
misc,EternityII-E,273221,1503732,320182,312709,312709,312930,312859,312859,356894,356894,356894,357550,357550,357548,426046,426046,426046,426046,426046,426046,316050,316050,316050,316050,316050,316050,313568,307555,304258
misc,EternityII-Etilde,214358,1170516,263719,261044,261044,256684,256625,256625,289080,289080,289080,288810,288810,288810,337243,337243,337243,336541,336541,336541,250675,250675,250675,250675,250675,250675,250653,250583,250322
misc,eurqsa,7245,20509,10254,10254,10254,10197,10197,10197,10157,10157,10157,10135,10135,10135,12888,12888,12888,12866,12866,12866,10702,10702,10702,10702,10702,10702,9555,9533,9512
misc,ex10,2410,26215,3720,3720,3720,3680,3680,3680,3709,3709,3709,3636,3636,3636,5275,5275,5275,5555,5555,5555,3736,3736,3736,3736,3736,3736,3579,3579,3579
misc,ex10hs,2548,27380,3971,3971,3971,3782,3782,3782,3858,3858,3858,3784,3784,3784,5577,5577,5577,5280,5280,5280,3834,3834,3834,3832,3832,3832,3761,3761,3761
misc,ex11,16614,540167,27407,27407,27407,27975,27973,27971,33029,33029,33029,32686,32678,32662,79568,78792,78792,80568,80568,80568,29455,29455,29455,29453,29453,29453,27248,27104,27104
misc,ex12,3973,38119,5707,5707,5707,5619,5619,5619,5720,5720,5720,5678,5678,5678,8306,8306,8306,8626,8626,8626,5823,5823,5823,5821,5821,5821,5438,5438,5438
misc,ex13,2568,36530,4207,4207,4207,4202,4202,4202,4183,4183,4183,4153,4153,4153,5744,5744,5744,5998,5998,5998,4190,4190,4190,4190,4190,4190,4103,4103,4103
misc,ex14,3251,31762,4991,4991,4991,4875,4875,4875,4911,4911,4911,4890,4890,4890,6591,6591,6591,6398,6398,6398,5010,5010,5010,5009,5009,5009,4857,4857,4857
misc,ex15,6867,45902,8592,8592,8592,8633,8633,8633,8813,8813,8813,8799,8799,8799,10191,10191,10191,10198,10198,10198,8853,8853,8853,8851,8851,8851,8538,8538,8538
misc,ex18,5669,33016,7215,7215,7215,7203,7203,7203,7559,7559,7559,7545,7545,7545,9549,9549,9549,9332,9332,9332,7369,7369,7369,7367,7367,7367,7124,7124,7124
misc,ex19,11703,123937,13742,13742,13742,13865,13865,13865,13966,13966,13966,13961,13961,13961,19153,19153,19153,19188,19188,19188,14205,14205,14205,14201,14201,14201,13703,13703,13703
misc,ex20,2203,33889,4221,4221,4221,4246,4246,4246,3811,3811,3811,3627,3627,3627,5765,5765,5765,5784,5784,5784,3872,3872,3872,3792,3792,3792,3627,3626,3626
misc,ex23,1409,21147,3140,3140,3140,3137,3137,3137,2745,2745,2745,2589,2589,2589,3358,3358,3358,3218,3218,3218,2693,2693,2693,2693,2693,2693,2540,2540,2540
misc,ex24,2283,23227,3745,3745,3745,3628,3628,3628,3632,3632,3632,3503,3503,3503,4312,4312,4312,4331,4331,4331,3558,3558,3558,3558,3558,3558,3465,3465,3465
misc,ex26,2163,45935,5152,5152,5152,5153,5153,5153,4602,4602,4602,4450,4450,4450,7985,7985,7985,8018,8018,8018,4216,4216,4216,4216,4216,4216,4120,4120,4120
misc,ex28,2603,37589,4243,4243,4243,4622,4622,4622,4075,4075,4075,3906,3906,3906,5435,5435,5435,5460,5460,5460,4072,4072,4072,4072,4072,4072,3869,3869,3869
misc,ex29,2691,10442,3644,3644,3644,3634,3634,3634,3831,3831,3831,3827,3827,3827,4939,4939,4939,4938,4938,4938,3734,3734,3734,3734,3734,3734,3581,3581,3581
misc,ex3,1821,25432,3369,3369,3369,3334,3334,3334,3163,3163,3163,3139,3139,3139,4555,4555,4555,4810,4810,4810,3163,3163,3163,3163,3163,3163,3099,3099,3099
misc,ex31,3909,55724,6175,6175,6175,6276,6276,6276,5833,5833,5833,5609,5609,5609,8675,8675,8675,8748,8525,8525,5894,5894,5894,5894,5894,5894,5598,5598,5596
misc,ex33,1733,10228,2615,2615,2615,2624,2624,2624,2768,2768,2768,2739,2739,2739,3612,3612,3612,3663,3663,3663,2648,2648,2648,2647,2647,2647,2535,2535,2535
misc,ex35,19548,104246,21744,21744,21744,21751,21751,21751,22046,22046,22046,22046,22046,22046,25528,25528,25528,25563,25563,25563,22406,22406,22406,22406,22406,22406,21528,21527,21527
misc,ex36,3079,25382,4495,4495,4495,4343,4343,4343,4340,4340,4340,4311,4311,4311,6029,6029,6029,5911,5911,5911,4479,4479,4479,4479,4479,4479,4303,4303,4303
misc,ex37,1914,32013,4427,4427,4427,4066,4066,4066,3753,3753,3753,3786,3786,3786,7593,7593,7593,7977,7845,7845,3682,3682,3682,3682,3682,3682,3671,3671,3646
misc,ex3sta1,34959,68779,43456,43456,43456,43407,43407,43407,41579,41579,41579,41580,41580,41580,45838,45838,45838,45725,45725,45725,44555,44555,44555,44555,44555,44555,41361,41361,41354
misc,EX4,2600,35880,12305,12305,12305,12116,12109,12109,11859,11859,11859,12086,12083,12083,19867,19867,19867,21074,21074,21074,10930,10930,10930,10930,10930,10930,10665,10636,10636
misc,ex40,7740,225136,15044,15044,15044,16715,16715,16715,16240,16240,16240,16128,16128,16128,46378,46378,46378,47936,47936,46246,15069,15069,15069,15069,15069,15069,14703,14703,14702
misc,EX5,6545,147840,32956,32956,32956,32012,32002,32000,32325,32325,32325,33021,33020,33020,66715,64955,64955,69404,69404,69404,23958,23958,23958,23958,23958,23958,23580,23432,23432
misc,EX6,6545,147840,32507,32507,32507,32103,32099,32082,32160,32160,32160,32604,32604,32604,64527,64527,64527,65173,65173,65173,24181,24181,24181,24181,24181,24181,23647,23372,23372
misc,ex7,1633,26455,3872,3872,3872,3616,3616,3616,3395,3395,3395,3245,3245,3245,6607,6607,6607,6713,6713,6713,3386,3386,3386,3386,3386,3386,3214,3214,3214
misc,ex8,3096,51624,5688,5688,5688,5627,5627,5627,5377,5377,5377,5270,5270,5270,11355,11355,11355,11515,11467,11467,5235,5235,5235,5230,5230,5230,5132,5132,5131
misc,ex9,3363,48054,5190,5190,5190,5190,5190,5190,5195,5195,5195,5129,5129,5129,7348,7348,7348,7501,7501,7501,5203,5203,5203,5200,5200,5200,5066,5066,5066
misc,exdata-1,6001,1131750,99645,99645,99645,65269,29582,29582,24104,24104,24104,22504,22504,22504,65186,65186,65186,61820,61820,61820,26447,26447,26447,25994,25994,25994,21429,20969,20865
misc,extr1,2837,11380,6547,6547,6547,6530,6530,6530,6088,6088,6088,6099,6099,6099,8868,8868,8868,8849,8849,8849,6963,6963,6963,6963,6963,6963,5875,5818,5777
misc,extr1b,2836,11379,6563,6563,6563,6538,6538,6538,6094,6094,6094,6087,6087,6087,8939,8939,8939,8935,8935,8935,6835,6835,6835,6835,6835,6835,5844,5800,5772
misc,f855-mat9,4967,171214,19603,19603,19603,20061,20055,20046,18642,18642,18642,18558,18558,18552,44870,44870,44870,44616,44616,44616,17390,17390,17390,17390,17390,17390,17137,17092,17092
misc,f855-mat9-I,4967,171214,20031,20031,20031,19772,19743,19706,18294,18294,18294,18197,18197,18192,44317,44317,44317,44451,44438,44438,16731,16731,16731,16731,16731,16731,16542,16530,16530
misc,FA,10617,63788,27383,27383,27383,26780,26777,26777,33529,33529,33529,34067,34058,33933,45167,45167,45167,45543,45543,45543,26988,26988,26988,26988,26988,26988,26260,24854,23881
misc,facebook-wosn-links,63731,817035,165196,165179,165179,159828,159826,159754,220528,217988,217988,215669,214374,214374,420844,420662,420662,420267,420185,420152,165112,165112,165112,165112,165112,165112,160028,157367,157105
misc,facebook-wosn-wall,45813,183412,86040,86040,86040,85161,85115,85104,94370,94370,94370,94650,94647,94316,142182,137227,137227,143237,142565,142565,87675,87675,87675,87675,87675,87675,84327,83228,79612
