The table shows the |V(S)| value for each algorithm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domains,Instance Name,Vertex,Edge,METIS_G,,,METIS_F,,,SPAC_G,,,SPAC_F,,,SHEEP_G,,,SHEEP_F,,,NE_G,,,NE_F,,,ParHS-BGEP,,
,,,,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s
bio,bio-HS-LC,4227,39484,11922,11922,11922,11806,11804,11804,13547,13547,13547,13463,13424,13424,19307,19307,19307,19006,19006,19006,11446,11446,11446,11446,11446,11446,10744,10604,10507
bio,bio-SC-CC,2223,34879,8090,8090,8090,7627,7615,7615,9564,9564,9564,9614,9600,9600,14159,14159,14159,13217,13217,13217,7329,7329,7329,7329,7329,7329,7139,7139,7139
bio,bio-SC-GT,1716,33987,7309,7309,7309,6885,6885,6885,8602,8602,8602,8630,8623,8623,15278,15278,15278,14356,14345,14345,6444,6444,6444,6444,6444,6444,6369,6369,6369
bio,bio-SC-HT,2084,63027,11528,11528,11528,11338,11338,11293,12954,12954,12954,12777,12777,12764,21897,21897,21897,20853,20853,20853,9201,9201,9201,9194,9194,9194,9094,9094,9094
bio,bio-SC-LC,2004,20452,6801,6801,6801,6734,6723,6723,7385,7385,7385,7418,7399,7399,11776,11776,11776,11417,11358,11358,6344,6344,6344,6344,6344,6344,6090,6090,6090
bio,bio-WormNet-v3,16347,762822,90765,90722,90722,143350,85011,85004,107729,107727,107727,106388,106188,106188,187121,187121,187121,186715,186519,186471,74166,74166,74166,74166,74166,74166,74151,74138,74135
bio,bio-WormNet-v3-benchmark,2445,78736,6472,6472,6472,6792,6782,6782,5687,5687,5687,5561,5561,5561,6598,6598,6598,6773,6773,6670,5525,5525,5525,5525,5470,5470,5283,5278,5278
bio,bio-yeast,1458,1948,1816,1816,1816,1814,1814,1814,1821,1821,1821,1821,1821,1821,1913,1913,1913,1895,1895,1895,1859,1859,1859,1859,1859,1859,1757,1757,1757
bio,bio-yeast-protein-inter,1846,2203,2187,2187,2187,2185,2185,2185,2206,2206,2206,2199,2199,2199,2360,2360,2360,2360,2360,2360,2243,2243,2243,2243,2243,2243,2148,2148,2148
ca,ca-aminer,1056941,3929876,1429437,1384393,1383766,1653031,1395476,1370440,1597546,1451333,1437746,1713524,1472062,1436986,2032113,2018933,1967528,2024978,2024017,2016331,1465990,1465990,1465990,1465990,1465990,1465990,1465990,1383944,1363089
ca,ca-AstroPh,17903,196972,35838,35838,35838,33978,33970,33947,59163,59163,59163,58523,58439,58266,76992,76992,76992,78786,78345,78345,35415,35415,35415,35392,35392,35392,33345,32810,31781
ca,ca-citeseer,227320,814134,257480,257431,257431,256816,256796,256759,261369,261242,261242,261259,261240,261133,330481,310126,306157,330370,315027,285739,264196,264196,264196,264196,264196,264196,256771,255963,254283
ca,ca-cit-HepPh,28093,3148447,447517,447517,447517,336089,191587,128484,244647,244647,244647,212586,211002,210808,399952,399952,399952,399808,399669,399590,101988,101988,101988,101976,101976,101976,101967,101760,101008
ca,ca-cit-HepTh,22908,2444798,408299,408299,408299,317670,190367,117700,190899,190899,190899,163315,162028,161992,269869,269869,269869,269774,269643,269540,84884,84884,84884,84877,84877,84877,84829,84623,84441
ca,ca-CondMat,21363,91286,30455,30455,30455,30044,30026,30024,32803,32803,32803,32552,32412,32406,40031,40031,40031,42931,42931,42931,30889,30889,30889,30889,30889,30889,29719,29009,28846
ca,ca-GrQc,4158,13422,5498,5498,5498,5460,5460,5460,5670,5670,5670,5602,5602,5602,6080,6080,6080,5795,5795,5795,5574,5574,5574,5574,5574,5574,5292,5289,5279
ca,ca-IMDB,896305,3782447,1703300,1531288,1530369,1907259,1553169,1516871,1899118,1800876,1752775,1959197,1792138,1767207,2783984,2783762,2783267,2784043,2784043,2783989,1626320,1626320,1626320,1626320,1626320,1626320,1626320,1542994,1502211
ca,ca-MathSciNet,332689,820644,412782,412714,412714,410979,410967,410908,425145,423912,423912,423555,423375,423009,560828,543266,532124,566661,538442,537345,439356,439356,439356,439356,439356,439356,411050,408616,406754
cit,cit-DBLP,12591,49620,21290,21290,21290,21027,21023,21023,23285,23285,23285,23280,23193,23185,36101,36101,36101,36101,36101,36101,21999,21999,21999,21999,21999,21999,20639,19941,19628
cit,cit-HepPh,28093,3148447,447517,447517,447517,334674,190187,128466,244647,244647,244647,212588,211002,210808,399952,399952,399952,399808,399669,399590,100603,100603,100603,100601,100601,100601,100550,100221,99813
cit,cit-HepTh,22908,2444798,408299,408299,408299,316234,190558,117699,190899,190899,190899,163334,162028,161991,269869,269869,269869,269774,269642,269542,85396,85396,85396,85396,85396,85396,85396,85394,85391
dimacs10,144,144649,1074393,167820,167820,167820,167590,167590,167588,170299,170299,170299,169928,169926,169925,704455,694696,688731,701840,701705,693556,172739,172739,172739,172739,172739,172739,167689,167037,166281
dimacs10,598a,110971,741934,128601,128601,128601,128397,128397,128397,129505,129505,129505,129230,129227,129227,555453,554748,537064,554352,552942,524284,130837,130837,130837,130837,130837,130837,128420,127962,127531
dimacs10,auto,448695,3314611,498888,498888,498888,498434,498434,498434,506662,501520,501520,501018,501018,501018,2087674,2087372,2074818,2087742,2084662,2082738,509772,509772,509772,509720,509720,509720,506423,498373,496771
dimacs10,coAuthorsCiteseer,227320,814134,257470,257431,257431,256815,256796,256759,261367,261242,261242,261259,261240,261133,330389,309455,306157,330363,315027,285710,264220,264220,264220,264212,264212,264212,256772,255748,254364
dimacs10,cs4,22499,43858,26651,26651,26651,26650,26650,26650,26576,26576,26576,26573,26573,26573,34161,34161,34161,33669,33669,33669,27244,27244,27244,27244,27244,27244,26347,26242,26215
dimacs10,cti,16840,48232,22054,22054,22054,22048,22048,22048,22076,22076,22076,22074,22074,22074,28553,28553,28553,28527,28524,28524,21520,21520,21520,21520,21520,21520,21447,21447,21447
dimacs10,delaunay-n10,1024,3056,1494,1494,1494,1491,1491,1491,1501,1501,1501,1499,1499,1499,1646,1646,1646,1613,1613,1613,1505,1505,1505,1505,1505,1505,1440,1440,1439
dimacs10,delaunay-n11,2048,6127,2660,2660,2660,2641,2641,2641,2673,2673,2673,2671,2671,2671,2979,2979,2979,2915,2915,2915,2708,2708,2708,2707,2707,2707,2608,2608,2608
dimacs10,delaunay-n12,4096,12264,4949,4949,4949,4928,4928,4928,4981,4981,4981,4978,4978,4978,5848,5848,5848,5881,5881,5881,4976,4976,4976,4976,4976,4976,4880,4880,4880
dimacs10,delaunay-n13,8192,24547,9396,9396,9396,9366,9366,9366,9450,9450,9450,9448,9448,9448,11422,11422,11422,11266,11266,11266,9529,9529,9529,9516,9516,9516,9290,9288,9288
dimacs10,delaunay-n14,16384,49122,18094,18094,18094,18064,18064,18064,18187,18187,18187,18181,18181,18181,22312,22312,22312,22475,22475,22475,18343,18343,18343,18343,18343,18343,17943,17943,17943
dimacs10,delaunay-n15,32768,98274,35196,35196,35196,35129,35129,35129,35317,35317,35317,35309,35309,35309,41635,41635,41635,42234,42225,42225,35609,35609,35609,35609,35609,35609,34984,34950,34950
dimacs10,delaunay-n16,65536,196575,68958,68958,68958,68878,68878,68878,69062,69062,69062,69057,69057,69057,85398,85398,85398,86418,85407,85407,69678,69678,69678,69663,69663,69663,68830,68658,68651
dimacs10,delaunay-n17,131072,393176,135851,135851,135851,135730,135730,135730,136141,136141,136141,136135,136135,136135,175279,175279,175279,182841,173166,173162,137120,137120,137120,137120,137120,137120,135698,135481,135410
dimacs10,delaunay-n18,262144,786396,268936,268936,268936,268756,268755,268755,269363,269363,269363,269346,269346,269346,336230,336230,336230,356189,341979,333491,271530,271530,271530,271497,271497,271497,268771,268670,268298
dimacs10,delaunay-n19,524288,1572823,534063,534063,534063,533794,533794,533794,534529,534529,534529,534512,534512,534512,728971,716334,716334,735959,724470,693522,538560,538560,538560,538543,538455,538455,533816,533647,533132
dimacs10,delaunay-n20,1048576,3145686,1062633,1062481,1062481,1062122,1062122,1062122,1063465,1063157,1063157,1063132,1063132,1063132,1455549,1428199,1407816,1453773,1446675,1416795,1069928,1069928,1069928,1069892,1069792,1069792,1063135,1062147,1061675
dimacs10,fe-4elt2,11143,32818,12584,12584,12584,12554,12554,12554,12889,12889,12889,12883,12883,12883,17757,17757,17757,18262,18262,18262,12671,12671,12671,12671,12671,12671,12484,12484,12478
dimacs10,fe-ocean,143437,409593,161442,161442,161442,161377,161377,161377,163190,163190,163190,163161,163161,163161,286359,285673,285673,287237,284841,284609,159651,159651,159651,159651,159651,159651,159641,159427,159371
dimacs10,fe-rotor,99617,662431,113291,113291,113291,112871,112870,112869,116864,116864,116864,116736,116735,116735,261077,258647,258647,255583,253918,248505,115026,115026,115026,114990,114990,114990,112935,112556,112262
dimacs10,fe-sphere,16386,49152,18584,18584,18584,18557,18557,18557,19240,19240,19240,19232,19232,19232,26643,26643,26643,26643,26643,26643,18716,18716,18716,18689,18689,18689,18428,18426,18426
dimacs10,fe-tooth,78136,452591,89401,89401,89401,89255,89254,89253,89587,89587,89587,89520,89520,89520,214946,209249,209249,216743,215034,212267,90467,90467,90467,90467,90467,90467,89186,88874,88792
dimacs10,inf-belgium-osm,1441295,1549970,1443144,1443144,1443144,1443144,1443144,1443144,1443187,1443187,1443187,1443187,1443187,1443187,1483240,1482247,1482247,1466695,1456559,1456540,1451763,1451763,1451763,1451812,1451702,1451649,1443144,1443120,1443116
dimacs10,inf-luxembourg-osm,114599,119666,115015,115015,115015,115013,115013,115013,115041,115041,115041,115039,115039,115039,117650,117650,117650,116566,116564,116564,115772,115772,115772,115756,115756,115756,115008,115008,115005
dimacs10,m14b,214765,1679018,241873,241873,241873,241703,241700,241700,245214,245214,245214,244863,244863,244861,995918,995353,983809,991948,991880,985209,249521,249521,249521,249521,249521,249521,241754,241364,240250
dimacs10,rgg-n-2-15-s0,32766,160240,34573,34573,34573,34546,34546,34546,34714,34714,34714,34713,34713,34713,68381,68381,68381,70498,70496,60615,36139,36139,36139,36101,36101,36101,34394,34334,34334
dimacs10,rgg-n-2-16-s0,65532,342127,68253,68253,68253,68230,68230,68230,68568,68568,68568,68568,68568,68568,134111,134111,134111,135921,132237,130715,71017,71017,71017,71006,71006,71006,68115,67910,67904
dimacs10,rgg-n-2-17-s0,131070,728753,135386,135386,135386,135320,135320,135320,135649,135649,135649,135647,135647,135647,313837,311496,311496,313669,313669,310982,140250,140250,140250,140250,140214,140214,135326,134971,134867
dimacs10,rgg-n-2-18-s0,262141,1547283,268916,268916,268916,268831,268831,268831,269710,269710,269710,269711,269711,269711,661169,646635,643207,650904,650491,649235,278240,278240,278240,278240,278240,278240,268857,268511,268128
