Family,Instance Name,Singel,,,Parallel,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
heter,yahoo-msg,169807,169807,169794,177623,176633,164454
ia,ia-dbpedia-team-bi,450136,420898,420898,450136,444869,417392
ia,ia-email-EU,38084,38084,38083,37785,37287,36839
ia,ia-email-univ,2808,2808,2808,2652,2652,2652
ia,ia-enron-large,50616,50615,50613,50665,49657,48534
ia,ia-escorts-dynamic,23120,23120,23120,22604,21565,21457
ia,ia-fb-messages,3732,3732,3732,3476,3476,3476
ia,ia-frwikinews-user-edits,27599,27599,27599,27497,27497,27437
ia,ia-reality,7264,7264,7264,7218,7201,7190
ia,ia-wikiquote-user-edits,118754,118750,118749,117786,114121,113614
ia,ia-wiki-Talk,154721,154721,154721,154721,154535,154524
ia,ia-wiki-trust-dir,200106,200095,200066,202424,196957,193289
misc,144,167601,167601,167601,172550,167153,166293
misc,162bit,20740,20740,20740,19798,19088,19044
misc,176bit,41558,41558,41558,40994,39296,38550
misc,192bit,72567,72567,72567,72225,70669,67954
misc,208bit,128471,128471,128471,128297,127296,123059
misc,2cubes-sphere,123821,123817,123813,128657,123458,121970
misc,2D-27628-bjtcai,31679,31677,31677,31529,31520,31490
misc,2D-54019-highK,59868,59862,59862,59655,59610,59610
misc,3D-28984-Tetra,39224,39224,39224,39200,39200,39200
misc,3D-51448-3D,65832,65832,65832,65816,65794,65794
misc,3dtube,65799,65799,65728,70228,61210,61194
misc,598a,129831,128419,128419,129794,127947,127524
misc,a0nsdsil,80558,80558,80558,80482,80482,80480
misc,a2nnsnsl,80553,80553,80553,80477,80473,80473
misc,a5esindl,60262,60262,60262,60260,60260,60260
misc,aa01,17232,17232,17232,16864,16736,16722
misc,aa03,16874,16874,16874,16560,16489,16489
misc,aa3,16874,16874,16874,16587,16526,16524
misc,aa4,14059,14059,14059,13707,13639,13634
misc,aa5,16311,16311,16311,16018,15939,15930
misc,aa6,14211,14211,14211,13919,13817,13808
misc,ABACUS-shell-hd,26199,26199,26199,25958,25952,25949
misc,ABACUS-shell-ld,26199,26199,26199,25957,25957,25928
misc,ABACUS-shell-md,26199,26199,26199,25965,25964,25964
misc,ABACUS-shell-ud,26199,26199,26199,26002,25981,25976
misc,abtaha1,20728,20728,20728,20307,20189,20166
misc,abtaha2,49115,49115,49115,48846,48490,48450
misc,actor-collaboration,156401,156281,156281,156401,156192,155719
misc,actor-movie,700152,682775,682741,700152,699807,676229
misc,add20,3264,3264,3264,3086,3086,3086
misc,add32,5140,5140,5140,5116,5116,5116
misc,adder-dcop-01,2501,2501,2501,2408,2406,2402
misc,adder-dcop-02,2499,2499,2499,2411,2411,2411
misc,adder-dcop-03,2477,2477,2477,2395,2395,2395
misc,adder-dcop-04,2422,2422,2422,2363,2363,2363
misc,adder-dcop-05,2468,2468,2468,2384,2384,2384
misc,adder-dcop-06,2465,2465,2465,2374,2374,2374
misc,adder-dcop-07,2486,2486,2486,2387,2387,2387
misc,adder-dcop-08,2484,2484,2484,2393,2393,2393
misc,adder-dcop-09,2479,2479,2479,2381,2381,2381
misc,adder-dcop-10,2462,2462,2462,2401,2401,2401
misc,adder-dcop-11,2512,2512,2512,2400,2400,2400
misc,adder-dcop-12,2499,2499,2499,2404,2404,2404
misc,adder-dcop-13,2459,2459,2459,2377,2377,2377
misc,adder-dcop-14,2499,2499,2499,2395,2395,2395
misc,adder-dcop-15,2499,2499,2499,2393,2393,2393
misc,adder-dcop-16,2499,2499,2499,2402,2402,2402
misc,adder-dcop-17,2499,2499,2499,2403,2403,2403
misc,adder-dcop-18,2499,2499,2499,2392,2392,2392
misc,adder-dcop-19,2489,2489,2489,2402,2402,2402
misc,adder-dcop-20,2499,2499,2499,2398,2398,2398
misc,adder-dcop-21,2499,2499,2499,2406,2401,2401
misc,adder-dcop-22,2499,2499,2499,2402,2402,2402
misc,adder-dcop-23,2499,2499,2499,2412,2412,2412
misc,adder-dcop-24,2499,2499,2499,2411,2411,2411
misc,adder-dcop-25,2499,2499,2499,2391,2389,2389
misc,adder-dcop-26,2499,2499,2499,2402,2402,2402
misc,adder-dcop-27,2499,2499,2499,2399,2399,2399
misc,adder-dcop-28,2499,2499,2499,2397,2397,2394
misc,adder-dcop-29,2499,2499,2499,2405,2404,2404
misc,adder-dcop-30,2499,2499,2499,2406,2406,2406
misc,adder-dcop-31,2499,2499,2499,2413,2413,2413
misc,adder-dcop-32,2499,2499,2499,2402,2400,2400
misc,adder-dcop-33,2499,2499,2499,2390,2387,2387
misc,adder-dcop-34,2499,2499,2499,2399,2398,2398
misc,adder-dcop-35,2499,2499,2499,2396,2396,2395
misc,adder-dcop-36,2499,2499,2499,2404,2404,2404
misc,adder-dcop-37,2499,2499,2499,2408,2408,2408
misc,adder-dcop-38,2499,2499,2499,2391,2391,2391
misc,adder-dcop-39,2499,2499,2499,2400,2400,2400
misc,adder-dcop-40,2499,2499,2499,2407,2407,2407
misc,adder-dcop-41,2499,2499,2499,2396,2396,2396
misc,adder-dcop-42,2499,2499,2499,2398,2398,2398
misc,adder-dcop-43,2499,2499,2499,2407,2407,2407
misc,adder-dcop-44,2501,2501,2501,2401,2401,2401
misc,adder-dcop-45,2499,2499,2499,2402,2401,2401
misc,adder-dcop-46,2499,2499,2499,2403,2403,2403
misc,adder-dcop-47,2499,2499,2499,2390,2390,2390
misc,adder-dcop-48,2499,2499,2499,2397,2397,2397
misc,adder-dcop-49,2499,2499,2499,2407,2407,2407
misc,adder-dcop-50,2499,2499,2499,2390,2390,2390
misc,adder-dcop-51,2499,2499,2499,2396,2396,2396
misc,adder-dcop-52,2499,2499,2499,2380,2378,2378
misc,adder-dcop-53,2499,2499,2499,2402,2402,2402
misc,adder-dcop-54,2499,2499,2499,2396,2396,2396
misc,adder-dcop-55,2499,2499,2499,2391,2391,2391
misc,adder-dcop-56,2499,2499,2499,2406,2406,2406
misc,adder-dcop-57,2499,2499,2499,2405,2405,2405
misc,adder-dcop-58,2499,2499,2499,2409,2409,2409
misc,adder-dcop-59,2499,2499,2499,2416,2416,2416
misc,adder-dcop-60,2499,2499,2499,2401,2401,2399
misc,adder-dcop-61,2499,2499,2499,2406,2406,2406
misc,adder-dcop-62,2499,2499,2499,2410,2410,2407
misc,adder-dcop-63,2499,2499,2499,2390,2390,2390
misc,adder-dcop-64,2499,2499,2499,2406,2405,2405
misc,adder-dcop-65,2499,2499,2499,2404,2404,2404
misc,adder-dcop-66,2499,2499,2499,2403,2403,2403
misc,adder-dcop-67,2499,2499,2499,2399,2399,2399
misc,adder-dcop-68,2493,2493,2493,2428,2428,2428
misc,adder-dcop-69,2499,2499,2499,2411,2411,2411
misc,adder-trans-01,2479,2479,2479,2393,2393,2393
misc,adder-trans-02,2479,2479,2479,2406,2406,2406
misc,advogato,13633,13633,13633,13483,13483,13483
misc,af23560,31263,31263,31263,31071,30870,30845
misc,aff-dbpedia-users2country,591066,591066,591066,591039,591006,590972
misc,aff-delicious-user-tag,230717,230717,230717,230717,230620,230555
misc,aff-github-user2project,205138,205138,205138,205148,204589,204257
misc,af-shell2,69434,69434,69434,68774,68714,68684
misc,af-shell3,137295,130600,130600,130552,130216,130196
misc,af-shell4,137563,130600,130600,130552,130250,130229
misc,af-shell5,137064,130262,130262,130210,129930,129884
misc,af-shell6,137503,130262,130262,130207,129944,129875
misc,af-shell7,136754,129729,129729,136684,129336,129321
misc,af-shell8,136146,129729,129729,129674,129320,129305
misc,aft01,10176,10176,10176,10030,10026,10020
misc,aft02,10241,10241,10241,10059,10053,10041
misc,air02,8566,8566,8566,8535,8527,8522
misc,air03,13969,13969,13969,13928,13928,13928
misc,air04,17232,17232,17232,16896,16767,16763
misc,air05,14059,14059,14059,13735,13664,13661
misc,air06,16874,16874,16874,16544,16482,16477
misc,aircraft,11500,11500,11500,11482,11482,11482
misc,airfoil-2d,17529,17529,17529,17428,17427,17427
