Family,Instance Name,Singel,,,Parallel,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,Chem97Zt,33580,33580,33580,33580,33579,33579
misc,chem-master1,43202,43202,43202,43049,42967,42903
misc,chipcool0,27086,27086,27086,26815,26740,26740
misc,chipcool1,27086,27086,27086,26818,26709,26705
misc,circuit-1,3977,3977,3977,3935,3935,3935
misc,circuit-2,5427,5427,5427,5277,5275,5275
misc,circuit-3,12570,12570,12570,12544,12533,12533
misc,circuit-4,70769,70769,70769,70686,70659,70659
misc,cis-n4c6-b13,42130,42129,42129,40948,40139,40003
misc,cis-n4c6-b3,14652,14652,14652,14492,14378,14247
misc,cis-n4c6-b4,52176,52176,52176,51849,51541,51258
misc,citationCiteseer,356127,356127,356109,386861,385051,351806
misc,citeseer,558486,508729,508724,558409,558031,504381
misc,citeulike-ti,1058287,982819,982819,1058309,1058309,982537
misc,citeulike-ui,758371,758371,758371,758371,758012,757111
misc,citeulike-ut,229127,229127,229127,229127,228945,228623
misc,cit-HepPh,70154,70149,70132,75590,69648,67261
misc,cit-HepTh,60224,60220,60189,62220,58984,56840
misc,cit-HepTh2007,60155,60148,60137,63211,59218,56943
misc,ckt11752-dc-1,51487,51487,51487,51379,51312,51303
misc,ckt11752-tr-0,51487,51487,51487,51397,51338,51323
misc,CO,173486,173471,173441,186334,171276,169576
misc,co5,21263,21263,21263,21192,21121,21082
misc,co9,38232,38232,38232,38120,38077,38002
misc,coater1,2938,2938,2938,2883,2883,2883
misc,coater2,13346,13346,13346,13283,13283,13283
misc,coAuthorsCiteseer,264162,256771,256771,264162,255923,254365
misc,coAuthorsDBLP,382069,365530,365530,382059,381325,361216
misc,com-amazon,385047,376470,374371,385047,375138,371605
misc,com-dblp,407687,389759,389759,407702,404499,386090
misc,commanche-dual,8686,8686,8686,8670,8665,8665
misc,complex,7734,7734,7734,7577,7422,7324
misc,comsol,4289,4289,4289,4238,4238,4238
misc,cond-mat,19269,19269,19269,19014,18906,18881
misc,cond-mat-2003,39944,39923,39923,39623,38791,38571
misc,cond-mat-2005,54533,54460,54445,54559,53162,52358
misc,conf5-0-4x4-10,10421,10421,10421,9749,9321,9321
misc,conf5-0-4x4-14,10421,10421,10421,9793,9245,9192
misc,conf5-0-4x4-18,10421,10421,10421,9481,9121,9121
misc,conf5-0-4x4-22,10421,10421,10421,9818,9238,9189
misc,conf5-0-4x4-26,10421,10421,10421,10102,9911,9911
misc,conf5-4-8x8-05,103666,103666,103666,103672,103573,103573
misc,conf5-4-8x8-10,105045,105045,105045,105032,105017,105017
misc,conf5-4-8x8-15,104223,104223,104223,104243,104130,104130
misc,conf5-4-8x8-20,104701,104701,104701,104674,104630,104630
misc,conf6-0-4x4-20,10421,10421,10421,10041,9358,9358
misc,conf6-0-4x4-30,10421,10421,10421,9768,9544,9544
misc,conf6-0-8x8-20,103862,103862,103862,103862,103862,103862
misc,conf6-0-8x8-30,104169,104169,104169,104141,104053,104053
misc,conf6-0-8x8-80,105108,105108,105108,105017,104909,104909
misc,connectus,399111,399111,399110,399111,399108,399108
misc,cont11-l,419042,419042,419042,419042,419042,419042
misc,cont1-l,1426828,1426828,1426231,1426828,1426221,1426206
misc,cont-201,85719,85719,85719,85586,85549,85537
misc,cont-300,188651,188651,188651,188638,188319,188303
misc,cop20k-A,115485,115441,115412,121346,114041,113759
misc,coPapersCiteseer,169834,169833,169833,169822,169822,169822
misc,coPapersDBLP,37782,37782,37782,37782,37782,37782
misc,copter1,22961,22961,22961,22634,22576,22572
misc,copter2,67061,67058,67058,67343,66679,66599
misc,cora-agm-fcl-aid,23264,23264,23264,22602,21491,21162
misc,cora-subelj,33049,33045,33044,32638,31816,31511
misc,coupled,13730,13730,13730,13707,13707,13707
misc,cq5,19781,19781,19781,19727,19688,19653
misc,cq9,35293,35293,35293,35161,35081,34946
misc,crack,11555,11555,11555,11462,11462,11462
misc,crack-dual,21348,21348,21348,21331,21331,21331
misc,crankseg-1,47351,47351,47351,47351,47174,47010
misc,crashbasis,176201,174823,174823,176217,173719,173556
misc,crew1,9258,9258,9258,9127,9125,9122
misc,crplat2,25195,25195,25195,24066,23998,23998
misc,cryg10000,11353,11353,11353,11284,11284,11284
misc,cryg2500,3156,3156,3156,3100,3100,3100
misc,crystk01,10187,10187,10187,10143,10143,10143
misc,crystk02,25479,25479,25479,24617,24483,24483
misc,crystk03,41427,41427,41427,39495,38852,38851
misc,crystm01,7814,7814,7814,7506,7506,7506
misc,crystm02,19776,19776,19776,19136,19136,19136
misc,crystm03,32942,32942,32942,31941,31760,31745
misc,cs4,26491,26491,26491,26346,26268,26233
misc,ct20stif,63844,63842,63818,63334,62946,62939
misc,cti,21713,21713,21713,21594,21548,21548
misc,cvxbqp1,54345,54345,54345,54162,54073,54062
misc,cvxqp3,24951,24950,24950,24451,23787,23666
misc,cyl6,19321,19302,19302,18463,18463,18463
misc,D6-6,70117,70117,70117,70003,70002,70002
misc,dano3mip,29611,29611,29611,29508,29407,29291
misc,darcy003,398896,394359,394359,398896,394286,394182
misc,dawson5,56940,56894,56894,56300,56129,56129
misc,dbic1,290988,290633,290633,290986,290239,290183
misc,dbir1,92272,89774,89736,92864,86255,82057
misc,dbir2,92844,91041,90973,92809,87348,85495
misc,dblp-2010,345475,341157,341157,350541,340951,338317
misc,dblp-author,6210394,6210394,6005783,6210394,6210388,5897617
misc,dblp-cite,21021,21019,21018,20648,19915,19585
misc,dbpedia-country,591066,591066,591066,591032,591003,590989
misc,dbpedia-genre,268859,268859,268858,268859,268739,268668
misc,dbpedia-location,197924,197924,197924,197876,197536,197369
misc,dbpedia-occupation,143882,143882,143882,143787,143666,143654
misc,dbpedia-producer,171906,171890,171866,172970,170037,168652
misc,dbpedia-recordlabel,183316,183315,183315,183072,182209,182066
misc,dbpedia-starring,198251,193451,193451,198050,196354,190667
misc,dbpedia-team,988949,959443,959440,988949,988763,956835
misc,dbpedia-writer,120160,120160,120160,120200,119521,117990
misc,dc1,118843,118843,118843,118843,118843,118843
misc,dc2,118843,118843,118843,118843,118843,118843
misc,dc3,118843,118843,118843,118843,118843,118843
misc,debr,1229056,1229056,1209609,1229056,1229056,1209520
misc,degme,234050,229118,229118,234051,228869,228694
misc,delaunay-n13,9363,9363,9363,9290,9286,9286
misc,delaunay-n14,18070,18070,18070,17946,17941,17941
misc,delaunay-n15,35135,35135,35135,34979,34945,34939
misc,delaunay-n16,68877,68877,68877,68786,68626,68626
misc,delaunay-n17,135736,135736,135736,135757,135469,135426
misc,delaunay-n18,270469,268768,268768,270469,268610,268306
misc,delaunay-n19,535937,533812,533812,535937,533795,533140
misc,delf,9932,9932,9932,9819,9801,9790
misc,delicious-ut,347808,347808,347808,347806,347742,347511
misc,deltaX,107565,107443,107443,107571,106374,104870
misc,denormal,97529,97529,97529,97351,96984,96954
misc,descriptor-xingo6u,20462,20462,20462,20411,20409,20406
misc,deter0,8090,8090,8090,8060,8060,8060
misc,deter1,22326,22326,22326,22286,22268,22268
misc,deter2,24824,24824,24824,24729,24728,24728
misc,deter3,30707,30707,30707,30642,30640,30640
misc,deter4,13485,13485,13485,13456,13456,13456
misc,deter5,20828,20828,20828,20624,20624,20624
misc,deter6,17461,17461,17461,17272,17264,17264
misc,deter7,25427,25427,25427,25415,25415,25415
misc,deter8,15650,15650,15650,15612,15608,15608
misc,df2177,13975,13975,13975,13821,13664,13664
misc,dictionary28,47530,47524,47524,47097,46547,46295
misc,discogs-lgenre,271122,271121,271121,271116,271116,271116
misc,discogs-lstyle,252632,252632,252632,252632,252632,252630
misc,dixmaanl,60191,60191,60191,60191,60191,60191
misc,d-pretok,194484,194476,194476,194503,193857,193278
misc,dtoc,25119,25119,25119,25119,25119,25119
misc,Dubcova1,18638,18638,18638,18425,18425,18424
misc,Dubcova2,69891,69891,69891,69775,69705,69704
misc,Dubcova3,154311,154311,154311,153964,153714,153714
misc,dw1024,2681,2681,2681,2636,2636,2636
misc,dw2048,2701,2701,2701,2652,2652,2652
misc,dw4096,9721,9721,9721,9590,9589,9588
misc,dw8192,9680,9680,9680,9583,9583,9583
misc,e18,77231,77231,77231,77329,76509,75625
misc,e40r0100,23593,23593,23593,23121,23112,23112
misc,eat,82361,82361,82361,82350,82313,82313
misc,EAT-RS,82625,82625,82625,82594,82546,82522
misc,EAT-SR,82555,82555,82555,82539,82485,82485
misc,ecl32,55271,55271,55271,55132,55037,55032
misc,edit-dewiki,37443,37443,37443,37147,36724,36518
misc,edit-dewiktionary,153290,153289,153289,153335,153301,153189
misc,edit-enwikibooks,19449,19449,19449,18994,18584,18566
misc,edit-enwikinews,175997,175994,175993,176106,175194,174973
misc,edit-enwikiquote,118754,118750,118749,116387,113726,113202
misc,edit-eswiki,41943,41943,41943,41896,41814,41729
misc,edit-frwiki,285157,285133,285133,285157,285055,284841
misc,edit-frwikibooks,33837,33836,33836,33252,33063,33062
misc,edit-frwikinews,27599,27599,27599,27474,27448,27448
misc,elec,20567,20567,20567,20555,20548,20548
misc,email-Enron,53586,53572,53561,53581,52543,51372
misc,email-EuAll,282350,282350,282350,282322,281957,281880
misc,enron,89330,89330,89330,89090,87997,86740
misc,epb0,2197,2197,2197,2110,2110,2110
misc,epb1,16662,16662,16662,16547,16546,16546
misc,epb2,28713,28713,28713,28503,28503,28503
misc,epb3,88444,88444,88444,88381,88354,88337
misc,epinions,214365,214365,214365,214365,214256,214184
misc,epinions-rating,273099,271918,271918,273099,271193,268293
misc,escorts,23147,23147,23147,22717,22160,22160
misc,EternityII-A,181190,181190,181190,181175,180986,180861
misc,EternityII-E,313520,313472,313472,316034,315916,304258
misc,EternityII-Etilde,250672,250672,250672,250653,250583,250322
misc,eurqsa,10068,10068,10068,9555,9533,9512
misc,ex10,3706,3706,3706,3579,3579,3579
misc,ex10hs,3820,3820,3820,3761,3761,3761
misc,ex11,28384,28382,28381,27248,27104,27104
misc,ex12,5670,5670,5670,5438,5438,5438
misc,ex13,4160,4160,4160,4103,4103,4103
misc,ex14,4890,4890,4890,4857,4857,4857
misc,ex15,8635,8635,8635,8538,8538,8538
misc,ex18,7218,7218,7218,7124,7124,7124
misc,ex19,13947,13947,13947,13703,13703,13703
misc,ex20,3701,3701,3701,3627,3626,3626
misc,ex23,2633,2633,2633,2540,2540,2540
misc,ex24,3546,3546,3546,3465,3465,3465
misc,ex26,4216,4216,4216,4120,4120,4120
misc,ex28,4013,4013,4013,3869,3869,3869
misc,ex29,3637,3637,3637,3581,3581,3581
misc,ex3,3140,3140,3140,3099,3099,3099
misc,ex31,5685,5685,5685,5598,5598,5596
misc,ex33,2647,2647,2647,2535,2535,2535
misc,ex35,21763,21763,21763,21528,21527,21527
misc,ex36,4322,4322,4322,4303,4303,4303
misc,ex37,3683,3683,3683,3671,3671,3646
misc,ex3sta1,41447,41447,41447,41361,41361,41354
misc,EX4,10929,10929,10929,10665,10636,10636
misc,ex40,15069,15069,15069,14703,14703,14702
misc,EX5,23958,23958,23958,23580,23432,23432
misc,EX6,24181,24181,24181,23647,23372,23372
misc,ex7,3321,3321,3321,3214,3214,3214
misc,ex8,5233,5233,5233,5132,5132,5131
misc,ex9,5135,5135,5135,5066,5066,5066
misc,exdata-1,21406,21406,21406,21429,20969,20865
misc,extr1,6050,6050,6050,5875,5818,5777
misc,extr1b,6048,6048,6048,5844,5800,5772
misc,f855-mat9,17390,17390,17390,17137,17092,17092
misc,f855-mat9-I,16724,16724,16724,16542,16530,16530
misc,FA,26821,26820,26811,26260,24854,23881
misc,facebook-wosn-links,160027,160015,159988,165094,164759,157105
misc,facebook-wosn-wall,85218,85180,85158,87584,83228,79612
misc,fd12,18752,18752,18752,18158,17576,17213
misc,fd15,28792,28792,28792,28333,27200,26640
misc,fd18,40238,40238,40238,39933,38572,37624
misc,fe-4elt2,12558,12558,12558,12478,12478,12478
misc,fe-body,46956,46956,46956,46821,46811,46811
misc,FEM-3D-thermal1,25752,25751,25751,24842,24758,24758
misc,FEM-3D-thermal2,61796,61794,61794,70647,59759,59735
misc,fem-filter,93607,92878,92878,93607,90837,89367
misc,fe-ocean,159604,159604,159604,159489,159410,159329
misc,fe-rotor,112970,112969,112969,114465,112581,112263
misc,fe-sphere,18563,18563,18563,18420,18416,18416
misc,fe-tooth,89282,89281,89281,89249,88898,88799
misc,filter2D,2158,2158,2158,2113,2113,2113
misc,filter3D,122089,122084,122084,129618,120409,120331
misc,finan512,78935,78935,78935,78764,78523,78522
misc,finance256,41245,41245,41245,41104,41088,41087
misc,flickr,1044490,1017483,1006609,1044489,1044489,1004077
misc,flickrEdges,252760,252731,252731,252742,252672,252160
misc,flickr-groupmemberships,1085767,1085713,1085713,1085767,1085767,1084749
misc,flickr-links,334024,334024,334024,334024,334012,326684
misc,flower-4-4,11274,11274,11274,11068,10970,10969
misc,flower-5-4,28980,28980,28980,28744,28367,28108
misc,flower-7-4,122606,122584,122578,128233,120356,117241
misc,flower-8-4,220714,220679,220669,229950,218524,214773
misc,flowmeter0,11165,11165,11165,11069,11069,11069
misc,flowmeter5,11165,11165,11165,11072,11072,11069
misc,foldoc,31538,31538,31538,31213,29786,29228
misc,fome11,48994,48994,48994,48612,47617,46965
misc,fome12,93360,92282,92282,92321,91322,89779
misc,fome13,175304,172831,172831,180476,171955,170284
misc,fome20,154572,154572,154572,154528,154378,154127
misc,fome21,303319,302962,302962,303319,302748,302349
misc,ford1,20219,20219,20219,20165,20163,20163
misc,ford2,103972,103972,103972,103901,103801,103787
misc,fp,16983,16983,16983,16980,16949,16949
misc,fpga-trans-02,1565,1565,1565,1556,1554,1554
misc,Franz10,47222,47222,47222,46147,44575,43379
misc,Franz11,149097,149063,149010,163030,144555,134359
misc,Franz2,14034,14034,14034,13404,13198,13111
misc,Franz4,25570,25570,25570,25274,25133,25133
misc,Franz5,20947,20947,20947,20599,20437,20393
misc,Franz6,23150,23150,23150,22726,22456,22366
misc,Franz7,19977,19977,19977,19708,19520,19427
misc,Franz8,50220,50220,50220,50041,49469,49152
misc,Franz9,43505,43505,43505,43254,42478,42422
misc,fs-EAT-SR,82236,82236,82236,82214,82122,81983
misc,fs-FA,26821,26820,26811,26650,26284,26284
misc,fv1,11423,11423,11423,11325,11325,11325
misc,fv2,11630,11630,11630,11507,11503,11497
misc,fv3,11630,11630,11630,11507,11507,11507
misc,fxm2-16,12041,12041,12041,12003,11980,11970
misc,fxm2-6,5327,5327,5327,5250,5241,5241
misc,fxm3-16,128409,128409,128409,128398,128394,128384
misc,fxm3-6,6198,6198,6198,6177,6177,6177
misc,fxm4-6,70650,70650,70650,70511,70464,70455
misc,G22,11314,11314,11314,10387,10221,10132
misc,G23,11272,11272,11272,10384,10149,10061
misc,G24,11282,11282,11282,10364,10177,10086
misc,G25,11281,11281,11281,10354,10165,10044
misc,G26,11271,11271,11271,10318,10104,10013
misc,G27,11272,11272,11272,10356,10172,10067
misc,G28,11278,11278,11278,10328,10129,10054
misc,G29,11245,11245,11245,10360,10142,10033
misc,G2-circuit,158114,158114,158114,158011,157786,157625
misc,G30,11267,11267,11267,10385,10176,10082
misc,G31,11339,11339,11339,10346,10138,10058
misc,G3-circuit,169251,169251,169251,169183,169148,169109
misc,g3rmt3m3,8012,8012,8012,7820,7820,7818
misc,G56,11136,11136,11136,10533,10245,10092
misc,G58,13114,13103,13103,12851,12846,12846
misc,G59,13098,13098,13098,12586,12378,12296
misc,G60,15264,15264,15264,14652,14244,13990
misc,G61,15264,15264,15264,14665,14194,13978
misc,G62,8201,8201,8201,8130,8130,8130
misc,G63,18240,18240,18240,17932,17781,17781
misc,G64,18193,18193,18193,17864,17826,17826
misc,G65,9311,9311,9311,9191,9162,9134
misc,G66,10357,10357,10357,10262,10220,10196
misc,G67,11458,11458,11458,11373,11327,11278
misc,g7jac010,5145,5145,5145,4952,4932,4922
misc,g7jac010sc,5145,5145,5145,5022,5021,5021
misc,g7jac020,9589,9589,9589,9341,9341,9341
misc,g7jac020sc,9589,9589,9589,9339,9339,9339
misc,g7jac040,18125,18125,18125,17754,17626,17626
misc,g7jac040sc,18125,18125,18125,17770,17637,17633
misc,g7jac050sc,22416,22416,22416,22100,21815,21694
misc,g7jac060,26605,26605,26605,26375,26004,25930
misc,g7jac060sc,26605,26605,26605,26369,26025,25973
misc,g7jac080,34420,34420,34420,34301,33796,33681
misc,g7jac080sc,34420,34420,34420,34264,33812,33747
misc,g7jac100,42197,42197,42197,42143,41588,41507
misc,g7jac100sc,42197,42197,42197,42109,41586,41482
misc,g7jac120,49676,49676,49676,49711,49028,48851
misc,g7jac120sc,49676,49676,49676,49597,48986,48856
misc,g7jac140,57671,57671,57671,57577,56885,56616
misc,g7jac140sc,57671,57671,57671,57581,56860,56672
misc,g7jac160,66625,64513,64513,68703,63837,63549
misc,g7jac160sc,66625,64513,64513,68703,63907,63652
misc,g7jac180,73878,72619,72619,76778,71968,71552
misc,g7jac180sc,73878,72619,72619,76778,71870,71564
misc,g7jac200,82134,81001,81001,85941,80242,79784
misc,g7jac200sc,82134,81001,81001,85941,80132,79754
misc,Ga19As19H42,256907,254137,254067,256907,256410,243475
misc,GaAsH6,130284,130284,130284,130281,130183,129695
misc,garon1,5025,5025,5025,4930,4930,4930
misc,garon2,17158,17158,17158,16689,16689,16684
misc,gas-sensor,87905,87903,87903,93033,85107,84484
misc,ge,28650,28650,28650,28584,28517,28469
misc,Ge87H76,127273,127258,127254,134511,124413,122242
misc,Ge99H100,229898,225070,225066,229879,229774,217204
misc,gemat1,17044,17044,17044,16908,16908,16908
misc,gemat11,12913,12913,12913,12338,12184,12183
misc,gemat12,13023,13023,13023,12298,12161,12155
misc,gen,10477,10477,10477,10150,10131,10119
misc,gen1,10477,10477,10477,10045,10028,10028
misc,gen2,12990,12990,12990,12668,12646,12646
misc,gen4,16092,16092,16092,15672,15612,15612
misc,github,205130,205130,205130,205130,204404,204294
misc,GL7d12,21409,21395,21395,20067,18908,18523
misc,GL7d13,161341,161317,159113,173746,158048,148359
misc,GL7d14,830136,719399,717261,830136,830136,705308
misc,GL7d22,921990,861086,861084,921990,921700,845114
misc,GL7d24,265478,265473,265406,286864,286864,252238
misc,GL7d25,42671,42661,42660,41392,39724,38671
misc,goodwin,10643,10643,10643,10506,10506,10506
misc,gottron-excellent,379571,379571,379571,379571,379571,379570
misc,graham1,12766,12766,12766,12605,12605,12605
misc,graphics,42822,42822,42822,42666,42601,42541
misc,gridgena,53636,53636,53636,53311,53163,53157
misc,GT01R,13574,13574,13574,13521,13521,13521
misc,gupta1,51649,51649,51649,51364,50579,50537
misc,gupta2,99943,99469,99469,99943,99224,98596
misc,gyro,23185,23180,23180,22940,22721,22721
misc,gyro-k,23185,23180,23180,22892,22538,22538
misc,gyro-m,19353,19353,19353,19223,19220,19220
misc,H2O,141699,141699,141699,141635,141339,140863
misc,Hamrle2,11899,11899,11899,11668,11523,11429
misc,Hamrle3,950686,950686,950686,951385,950131,949615
misc,hcircuit,106537,106537,106537,106499,106475,106467
misc,heart1,14926,14926,14926,14830,14683,14638
misc,heart2,9440,9440,9440,9346,9301,9300
misc,heart3,9440,9440,9440,9300,9243,9243
misc,helm2d03,402928,401850,401850,402923,401165,401058
misc,helm3d01,40649,40649,40649,40418,40082,40079
misc,hep-th,9044,9044,9044,8894,8876,8876
misc,HEP-th-new,60224,60220,60189,63126,58878,56675
misc,HTC-336-4438,230726,229605,229605,229688,229336,229268
misc,HTC-336-9129,230767,229620,229620,230767,229267,229262
misc,hugetrace-00000,621729,621729,621729,621729,621729,621729
misc,hvdc1,25706,25706,25706,25644,25639,25639
misc,hvdc2,191684,191684,191684,191630,191547,191541
misc,hydr1,10959,10959,10959,10658,10517,10456
misc,hydr1c,10959,10959,10959,10651,10549,10471
misc,ibm-matrix-2,65993,65993,65993,65964,65900,65900
misc,IG5-11,7631,7631,7631,7324,7324,7324
misc,IG5-12,13876,13876,13876,13498,13461,13461
misc,IG5-13,23501,23501,23501,23069,22682,22682
misc,IG5-14,39341,39341,39341,38995,38456,38456
misc,IG5-15,64667,64667,64667,64618,63611,63177
misc,IG5-16,105817,105817,105817,105784,101864,97505
misc,IG5-17,166700,166700,166700,166698,162029,157481
misc,IG5-18,260063,260063,260063,260054,259912,246406
misc,igbt3,13501,13501,13501,13292,13261,13261
misc,Ill-Stokes,27087,27087,27087,26468,26277,26277
misc,image-interp,363883,363064,363064,363873,362676,362646
misc,init-adder1,2501,2501,2501,2410,2410,2407
misc,inlet,15917,15917,15917,15684,15684,15684
misc,ins2,310189,310189,310189,310189,310177,310176
misc,internet,129444,129444,129444,129285,129245,129174
misc,invextr1-new,48003,48003,48002,44903,44227,44227
misc,italy-osm,1163830,1163830,1163830,1163830,1163830,1163830
misc,jan99jac020,9501,9501,9501,9318,9283,9261
misc,jan99jac020sc,9501,9501,9501,9322,9283,9270
misc,jan99jac040,18575,18575,18575,18276,18198,18185
misc,jan99jac040sc,18575,18575,18575,18284,18229,18069
misc,jan99jac060,27139,27139,27139,26884,26676,26644
misc,jan99jac060sc,27240,27240,27240,26964,26746,26725
misc,jan99jac080,35564,35564,35564,35616,35038,35031
misc,jan99jac080sc,35564,35564,35564,35343,34996,34962
misc,jan99jac100,43917,43917,43917,43794,43413,43368
misc,jan99jac100sc,43917,43917,43917,43657,43210,43078
misc,jan99jac120,52170,52170,52170,52081,51352,51201
misc,jan99jac120sc,52170,52170,52170,52032,51562,51416
misc,jendrec1,9940,9940,9940,9935,9935,9935
misc,jester1,78836,78836,78833,78833,78832,78832
misc,jester2,56408,56408,56408,56408,56408,56408
misc,jnlbrng1,42806,42806,42806,42658,42618,42601
misc,juba40k,39491,39491,39491,39464,39449,39448
misc,k1-san,72601,72601,72601,72526,72446,72431
misc,k3plates,14594,14594,14594,14157,14142,14142
misc,karted,201556,200579,200579,201556,200497,200014
misc,Kaufhold,9165,9165,9165,9124,9123,9123
misc,Kemelmacher,42191,42191,42191,42099,42011,41985
misc,kim1,45538,45538,45538,45050,44883,44883
misc,kim2,66092,66089,66089,65648,65427,65417
misc,kkt-power,161089,161088,161088,161085,160989,160974
misc,kl02,39138,39138,39138,39122,39117,39116
misc,kneser-10-4-1,709710,709071,709071,709710,709000,708746
misc,kneser-8-3-1,35769,35769,35769,35186,34913,34726
misc,kron-g500-logn16,206877,206877,206877,206877,206834,206788
misc,Kuu,9931,9931,9931,9718,9718,9718
misc,l30,20511,20511,20511,20278,20266,20266
misc,L-9,19752,19752,19752,19654,19635,19592
misc,laminar-duct3D,90516,90512,90507,96628,86330,85968
misc,landmark,79559,79559,79559,79532,79318,79304
misc,language,501517,501512,494197,507272,506163,491884
misc,large,12932,12932,12932,12771,12733,12732
misc,lasagne-spanishbook,20091,20073,20073,18787,18599,18591
misc,Lederberg,14579,14572,14572,14035,13633,13529
misc,LF10000,20124,20124,20124,20124,20124,20124
misc,LFAT5000,20099,20099,20099,20099,20099,20099
misc,lhr01,4747,4747,4747,4498,4466,4466
misc,lhr02,7789,7789,7789,7553,7481,7438
misc,lhr04,11500,11500,11500,11225,11071,10950
misc,lhr04c,11500,11500,11500,11242,11049,10976
misc,lhr07,17946,17946,17946,17660,17229,17068
misc,lhr07c,17946,17946,17946,17647,17268,17070
misc,lhr10,25354,25354,25354,25164,24723,24597
misc,lhr10c,25354,25354,25354,25153,24716,24656
misc,lhr11,25886,25886,25886,25672,25226,25029
misc,lhr11c,25886,25886,25886,25694,25291,25026
misc,lhr14,32325,32325,32325,32176,31631,31328
misc,lhr14c,32325,32325,32325,32180,31591,31337
misc,lhr17,39059,39059,39059,38986,38439,38063
misc,lhr17c,39059,39059,39059,39058,38450,38090
misc,lhr34,72037,68559,68559,72037,67930,67308
misc,lhr34c,72037,68559,68559,72037,67962,67262
misc,lhr71,128792,123157,123157,128792,122517,121556
misc,lhr71c,128792,123157,123157,128792,122539,121480
misc,li,44004,44002,43980,41616,40862,40773
misc,light-in-tissue,32762,32762,32762,32642,32582,32566
misc,Lin,285221,285221,285221,285211,285170,285130
misc,linux,45484,45484,45484,45520,44852,44586
misc,linverse,12188,12188,12188,12188,12188,12188
misc,lkml-person-thread,364955,364955,364955,364955,364255,364115
misc,lkml-reply,45013,45013,45013,44943,44858,44858
misc,lns-3937,5321,5321,5321,5209,5204,5201
misc,lnsp3937,5311,5311,5311,5208,5203,5200
misc,loc-brightkite-edges,89532,89512,89471,90950,88405,85704
misc,loc-gowalla-edges,295330,295300,295300,304705,303722,292562
misc,lock1074,2763,2763,2763,2696,2696,2696
misc,lock2232,3913,3913,3913,3801,3801,3798
misc,lock3491,5984,5984,5984,5931,5931,5931
misc,lp1,534504,534451,534451,534451,534451,534451
misc,lp22,29188,29188,29188,28988,28855,28576
misc,lp-80bau3b,15453,15453,15453,15383,15352,15342
misc,lp-bnl2,8083,8083,8083,8040,8024,8016
misc,lp-cre-a,12266,12266,12266,12140,12130,12130
misc,lp-cre-b,93589,93589,93589,93518,93280,93157
misc,lp-cre-c,11031,11031,11031,10904,10863,10835
misc,lp-cre-d,89847,89847,89847,89812,89586,89425
misc,lp-cycle,6878,6878,6878,6794,6766,6744
misc,lp-d2q06c,9952,9952,9952,9864,9835,9809
misc,lp-d6cube,10895,10895,10895,10533,10293,10217
misc,lp-degen3,7138,7138,7138,6884,6820,6812
misc,lp-dfl001,25679,25679,25679,25230,24603,24350
misc,lp-fit2d,11720,11720,11720,11720,11720,11720
misc,lp-fit2p,17682,17682,17682,17679,17679,17678
misc,lp-greenbea,10536,10536,10536,10394,10378,10363
misc,lp-greenbeb,10536,10536,10536,10417,10396,10391
misc,lpi-bgindy,19263,19263,19263,19093,19000,18986
misc,lpi-ceria3d,10439,10439,10439,10239,10157,10098
misc,lpi-gosh,21784,21784,21784,21772,21750,21692
misc,lpi-gran,6488,6488,6488,6453,6453,6453
misc,lpi-greenbea,10474,10474,10474,10331,10286,10270
misc,lp-ken-11,39320,39320,39320,39244,39236,39236
misc,lp-ken-13,77133,77133,77133,77075,76912,76755
misc,lp-ken-18,270660,270630,270630,270217,270063,269903
misc,lpl1,41598,41598,41598,41399,41075,41027
misc,lpl2,16801,16801,16801,16751,16746,16745
misc,lpl3,49695,49695,49695,49637,49606,49602
misc,lp-maros-r7,21644,21644,21644,20423,20191,19812
misc,lp-nug12,21772,21772,21772,21585,21508,21498
misc,lp-nug15,48113,48113,48113,47923,47739,47653
misc,lp-nug20,134821,134098,134098,134145,133640,133295
misc,lp-nug30,593846,592200,592013,593846,592091,591254
misc,lp-osa-07,29948,29948,29948,29832,29741,29741
misc,lp-osa-14,61080,61080,61080,61062,60864,60759
misc,lp-osa-30,112808,112780,112780,112773,112727,112492
misc,lp-osa-60,257694,257667,257667,257645,257637,257537
misc,lp-pds-02,12409,12409,12409,12296,12280,12280
misc,lp-pds-06,44622,44622,44622,44542,44392,44303
misc,lp-pds-10,74189,74189,74189,74122,74000,73844
misc,lp-pds-20,154572,154572,154572,154518,154343,154097
misc,lp-pilot,10272,10272,10272,10133,10073,10034
misc,lp-pilot87,14142,14142,14142,13908,13762,13663
misc,lp-pilot-ja,4938,4938,4938,4868,4855,4855
misc,lp-pilotnov,5013,5013,5013,4892,4885,4885
misc,lp-qap12,21901,21901,21901,21739,21667,21616
misc,lp-qap15,47903,47903,47903,47780,47633,47592
misc,lp-stocfor3,40921,40921,40921,40920,40914,40910
misc,lp-truss,11842,11842,11842,11784,11775,11775
misc,lp-wood1p,6480,6480,6480,6219,6011,5678
misc,lp-woodw,11806,11806,11806,11740,11738,11738
misc,lung1,1796,1796,1796,1788,1788,1788
misc,lung2,109694,109694,109694,109692,109686,109684
misc,luxembourg-osm,115013,115013,115013,115008,115008,115005
misc,m133-b3,489101,489101,475903,489101,489101,474140
