Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,Andrews,89218,89218,89218,89006,88996,88994,105203,88363,88363,89734,89734,89734,89715,89667,89661,103565,88258,88258,294785,294785,294785,315743,298410,297548,317139,126912,126912,90031,90031,90031,90031,90031,90031,90011,90011,90011
misc,apache1,91830,91830,91830,91831,91831,91831,91614,91614,91614,93092,93092,93092,93089,93089,93089,92844,92844,92844,130938,130938,130938,130948,130948,130948,130947,130947,130947,90865,90865,90865,90865,90865,90865,90865,90865,90865
misc,appu,545366,146419,146419,545369,151565,151565,545366,144129,144129,151542,151542,151542,152977,152977,152977,164659,151755,151755,383808,383808,383808,388279,385444,385251,385174,385174,385174,124729,124729,124729,124729,124729,124729,124729,124729,124729
misc,arenas-pgp,12090,12090,12090,12027,12027,12027,12059,12059,12059,12073,12073,12073,12064,12064,12064,12020,12020,12020,13293,13293,13293,14090,14090,14090,13273,13273,13273,12277,12277,12277,12278,12278,12278,12274,12274,12274
misc,as-22july06,26914,26914,26914,26935,26932,26926,26844,26844,26844,27799,27799,27799,27886,27870,27864,27751,27751,27751,27463,27463,27463,27432,27432,27432,27419,27419,27419,30435,30435,30435,30443,30443,30443,30412,30412,30412
misc,as-caida,30506,30506,30506,30509,30508,30503,30410,30410,30410,32349,32349,32349,32330,32273,32221,32067,32067,32067,31487,31487,31487,31487,31487,31487,31487,31487,31487,34739,34739,34739,34728,34728,34728,34739,34739,34739
misc,as-caida20071105,30587,30587,30587,30593,30593,30592,30509,30509,30509,32250,32250,32250,32302,32299,32271,32008,32008,32008,31421,31421,31421,31421,31421,31421,31421,31421,31421,34877,34877,34877,34880,34880,34880,34875,34875,34875
misc,ASIC-100k,119544,119544,119544,119992,119992,119980,131765,118395,118395,108057,108057,108057,108062,108062,108058,110956,107543,107543,134956,134956,134956,135286,135286,135286,133648,133648,133648,112278,112278,112278,112278,112278,112278,112278,112278,112278
misc,ASIC-100ks,107979,107979,107979,107944,107943,107943,112015,107418,107418,104431,104431,104431,104440,104440,104440,104303,104303,104303,119282,119282,119282,120220,120178,120144,113867,113867,113867,107407,107407,107407,107407,107407,107407,107406,107406,107406
misc,ASIC-320ks,334890,334890,334890,334968,334968,334968,344855,334425,334425,327470,327470,327470,327473,327473,327472,327934,327407,327407,338339,338339,338339,338492,338060,338060,345014,338320,338320,330797,330797,330797,330795,330795,330795,330796,330796,330796
misc,ASIC-680k,203703,203703,203703,203660,203660,203657,207257,203461,203461,357036,357036,357036,360178,356812,356812,360180,260520,260520,201104,201104,201104,201113,201113,201113,201121,201121,201121,249700,249700,249700,249700,249700,249700,249700,249700,249700
misc,astro-ph,24851,24851,24851,24102,24079,24079,24577,24577,24577,28355,28355,28355,28026,27990,27970,27296,27296,27296,43240,43240,43240,44615,44578,44578,34295,34295,34295,24520,24520,24520,24520,24520,24520,24520,24520,24520
misc,atmosmodl,309563,309563,309563,312201,309560,309560,312201,309079,309079,828499,502751,502751,828499,520762,519594,828499,828499,370170,476902,476902,476902,476928,476630,476630,477292,475387,475387,310237,310237,310237,310086,310086,310086,310237,310237,310237
misc,atmosmodm,345049,345049,345049,347975,345031,345031,347975,344445,344445,942607,942607,578940,942607,606736,606736,942607,942607,415441,516401,516401,516401,516674,516595,516595,516865,515649,515649,345438,345438,345438,345438,345438,345438,345419,345419,345419
misc,aug2d,30502,30502,30502,30502,30502,30502,30484,30484,30484,30383,30383,30383,30383,30383,30383,30377,30377,30377,34640,34640,34640,34640,34640,34640,34350,34350,34350,31960,31960,31960,31960,31960,31960,31936,31936,31936
misc,aug2dc,31760,31760,31760,31760,31760,31760,31738,31738,31738,31602,31602,31602,31602,31602,31602,31598,31598,31598,35999,35999,35999,35999,35999,35999,35449,35449,35449,33444,33444,33444,33427,33427,33427,33443,33443,33443
misc,aug3d,27430,27430,27430,27430,27430,27430,27376,27376,27376,27257,27257,27257,27257,27257,27257,27234,27234,27234,30835,30835,30835,30679,30679,30679,30834,30834,30834,29243,29243,29243,29243,29243,29243,29243,29243,29243
misc,aug3dcqp,39418,39418,39418,39418,39418,39418,39334,39334,39334,39172,39172,39172,39172,39172,39172,39148,39148,39148,44784,44784,44784,44787,44787,44787,44316,44316,44316,42124,42124,42124,42123,42123,42123,42117,42117,42117
misc,av41092,320106,128018,128018,320109,320109,135320,320106,121138,121138,111340,111340,111340,112181,111802,111802,121480,109855,109855,297257,297257,297257,296924,296504,295934,295850,295850,295850,125396,125396,125396,125395,125395,125395,125412,125320,125320
misc,barth,7751,7751,7751,7727,7727,7727,7739,7739,7739,7821,7821,7821,7817,7817,7817,7800,7800,7800,9356,9356,9356,9233,9233,9233,9118,9118,9118,7784,7784,7784,7784,7784,7784,7784,7784,7784
misc,barth4,6985,6985,6985,6985,6985,6985,6975,6975,6975,7162,7162,7162,7163,7163,7163,7129,7129,7129,9489,9489,9489,9593,9593,9593,9372,9372,9372,7085,7085,7085,7085,7085,7085,7085,7085,7085
misc,barth5,17122,17122,17122,17106,17106,17106,17104,17104,17104,17343,17343,17343,17341,17341,17341,17293,17293,17293,20487,20487,20487,20579,20579,20579,20604,20604,20604,17330,17330,17330,17318,17318,17318,17328,17328,17328
misc,bas1lp,31975,31975,31975,33215,32918,32871,31714,31714,31714,28334,28334,28334,28311,28311,28305,28276,28276,28276,47611,47611,47611,52534,52534,51933,41682,41682,41682,28075,28075,28075,28075,28075,28075,28074,28074,28074
misc,Baumann,127564,127564,127564,127539,127539,127539,130144,127277,127277,128407,128407,128407,128405,128405,128405,128107,128107,128107,178715,178715,178715,178721,178721,178721,178721,178721,178721,126277,126277,126277,126277,126277,126277,126277,126277,126277
misc,bauru5727,39549,39549,39549,39545,39545,39545,39555,39555,39555,39561,39561,39561,39562,39562,39562,39570,39570,39570,40083,40083,40083,40136,40136,40136,40196,40196,40196,39970,39970,39970,39941,39941,39941,39970,39970,39970
misc,baxter,63147,63147,63147,63174,63174,63174,63035,63035,63035,62000,62000,62000,61994,61994,61994,61846,61846,61846,72477,72477,72477,72496,72496,72496,69317,69317,69317,68961,68961,68961,68961,68961,68961,68930,68930,68930
misc,bayer01,92202,92202,92202,91743,91729,91729,107085,90443,90443,87671,87671,87671,87664,87664,87664,87301,87301,87301,189816,189816,189816,193478,193108,193108,196864,131355,131355,107057,107057,107057,107057,107057,107057,107069,105978,105978
misc,bayer02,28006,28006,28006,27901,27899,27899,27446,27446,27446,26197,26197,26197,26190,26190,26190,26056,26056,26056,43835,43835,43835,44244,44192,44192,36932,36932,36932,31749,31749,31749,31749,31749,31749,31716,31716,31716
misc,bayer03,16485,16485,16485,16435,16425,16425,16066,16066,16066,15182,15182,15182,15147,15146,15146,15052,15052,15052,29042,29042,29042,28944,28910,28873,25070,25070,25070,17568,17568,17568,17568,17568,17568,17508,17508,17508
misc,bayer04,41358,41358,41358,41196,41181,41181,40386,40386,40386,38047,38047,38047,38058,38053,38051,37833,37833,37833,81897,81897,81897,82812,81110,81099,62535,62535,62535,47063,47063,47063,47063,47063,47063,46943,46943,46943
misc,bayer05,8916,8916,8916,9044,9043,9043,8743,8743,8743,8047,8047,8047,8052,8052,8052,8007,8007,8007,11050,11050,11050,11008,11008,11008,10286,10286,10286,8698,8698,8698,8698,8698,8698,8697,8697,8697
misc,bayer06,8630,8630,8630,8577,8575,8575,8462,8462,8462,7690,7690,7690,7693,7693,7693,7647,7647,7647,10688,10688,10688,10701,10696,10696,10118,10118,10118,8413,8413,8413,8413,8413,8413,8412,8412,8412
misc,bayer07,8916,8916,8916,9044,9043,9043,8743,8743,8743,8047,8047,8047,8052,8052,8052,8007,8007,8007,11050,11050,11050,11008,11008,11008,10286,10286,10286,8710,8710,8710,8710,8710,8710,8705,8705,8705
misc,bayer08,8630,8630,8630,8577,8575,8575,8462,8462,8462,7690,7690,7690,7693,7693,7693,7647,7647,7647,10688,10688,10688,10701,10696,10696,10118,10118,10118,8313,8313,8313,8313,8313,8313,8313,8313,8313
misc,bayer09,7866,7866,7866,7871,7871,7871,7825,7825,7825,7301,7301,7301,7311,7311,7311,7261,7261,7261,11089,11089,11089,11120,11120,11120,9486,9486,9486,7940,7940,7940,7940,7940,7940,7919,7919,7919
misc,bayer10,27862,27862,27862,27740,27736,27736,27206,27206,27206,26122,26122,26122,26129,26123,26122,25945,25945,25945,52286,52286,52286,53255,52632,52627,41475,41475,41475,32366,32366,32366,32366,32366,32366,32317,32317,32317
misc,bbmat,60168,60168,60168,60056,60025,60025,72808,59975,59975,58552,58552,58552,58545,58545,58545,58452,58452,58452,375381,375381,375381,375390,374418,374418,370847,370847,370847,58963,58963,58963,58963,58963,58963,58960,58960,58960
misc,bcircuit,70119,70119,70119,70116,70116,70116,70116,70116,70116,69972,69972,69972,69974,69974,69974,69952,69952,69952,80973,80973,80973,81153,80767,80767,78018,78018,78018,70932,70932,70932,70909,70909,70909,70928,70928,70928
misc,bcspwr10,5830,5830,5830,5830,5830,5830,5821,5821,5821,5809,5809,5809,5809,5809,5809,5806,5806,5806,6372,6372,6372,6347,6347,6347,6316,6316,6316,6039,6039,6039,6038,6038,6038,6039,6039,6039
misc,bcsstk10,2010,2010,2010,2080,2080,2080,2021,2021,2021,2089,2089,2089,2069,2069,2069,2074,2074,2074,2301,2301,2301,2322,2322,2322,2306,2306,2306,2001,2001,2001,2001,2001,2001,2001,2001,2001
misc,bcsstk11,2769,2769,2769,2833,2833,2833,2737,2737,2737,2796,2796,2796,2810,2810,2810,2811,2811,2811,3885,3885,3885,3858,3858,3858,3837,3837,3837,2668,2668,2668,2667,2667,2667,2667,2667,2667
misc,bcsstk12,2769,2769,2769,2833,2833,2833,2737,2737,2737,2796,2796,2796,2810,2810,2810,2811,2811,2811,3885,3885,3885,3858,3858,3858,3837,3837,3837,2717,2717,2717,2715,2715,2715,2717,2717,2717
misc,bcsstk13,5502,5502,5502,5721,5721,5721,5342,5342,5342,5194,5194,5194,5275,5275,5275,5158,5158,5158,13817,13817,13817,11973,11973,11973,12547,12547,12547,4897,4897,4897,4897,4897,4897,4897,4897,4897
misc,bcsstk14,3816,3816,3816,3728,3728,3728,3669,3669,3669,3650,3650,3650,3672,3672,3672,3632,3632,3632,11454,11454,11454,10103,9441,9441,10128,10128,10128,3507,3507,3507,3506,3506,3506,3506,3506,3506
misc,bcsstk15,7175,7175,7175,7262,7262,7262,7150,7150,7150,7570,7570,7570,7578,7578,7578,7534,7534,7534,21236,21236,21236,20103,20103,20103,19857,19857,19857,7154,7154,7154,7154,7154,7154,7154,7154,7154
misc,bcsstk16,10122,10122,10122,10586,10586,10586,9651,9651,9651,10861,10861,10861,10795,10792,10792,10440,10440,10440,15869,15869,15869,15966,15966,15966,15812,15812,15812,9580,9580,9580,9580,9548,9548,9580,9580,9580
misc,bcsstk17,14786,14786,14786,15411,15399,15399,14683,14683,14683,16047,16047,16047,16056,16056,16056,15898,15898,15898,29797,29797,29797,30680,30210,30210,26010,26010,26010,16227,16227,16227,16228,16228,16228,16227,16227,16227
misc,bcsstk18,14860,14860,14860,14765,14765,14765,14741,14741,14741,15072,15072,15072,15061,15061,15061,14945,14945,14945,25619,25619,25619,26547,26547,26547,24704,24704,24704,15076,15076,15076,15076,15076,15076,15076,15076,15076
misc,bcsstk21,5066,5066,5066,5060,5060,5060,5012,5012,5012,5054,5054,5054,5052,5052,5052,5041,5041,5041,7798,7798,7798,8584,8584,8584,7802,7802,7802,4931,4931,4931,4931,4931,4931,4931,4931,4931
misc,bcsstk23,6314,6314,6314,6297,6297,6297,6243,6243,6243,6211,6211,6211,6221,6221,6221,6179,6179,6179,11948,11948,11948,11791,11791,11791,11752,11752,11752,5943,5943,5943,5943,5943,5943,5943,5943,5943
misc,bcsstk24,6175,6175,6175,6501,6501,6501,6081,6081,6081,6304,6304,6304,6362,6362,6362,6301,6301,6301,9291,9291,9291,9148,9148,9148,8672,8672,8672,6061,6061,6061,6063,6063,6063,6101,6101,6101
misc,bcsstk25,21020,21020,21020,20930,20929,20929,20873,20873,20873,21592,21592,21592,21598,21598,21598,21409,21409,21409,51054,51054,51054,51554,50884,50884,46511,46511,46511,21271,21271,21271,21271,21271,21271,21271,21271,21271
misc,bcsstk26,2973,2973,2973,2985,2985,2985,2970,2970,2970,2932,2932,2932,2935,2935,2935,2934,2934,2934,3769,3769,3769,3827,3827,3827,3716,3716,3716,3023,3023,3023,3023,3023,3023,3023,3023,3023
misc,bcsstk27,3114,3114,3114,3333,3333,3333,3097,3097,3097,2893,2893,2893,2905,2905,2905,2901,2901,2901,3122,3122,3122,3184,3184,3184,3106,3106,3106,3052,3052,3052,3063,3063,3063,3063,3063,3063
misc,bcsstk28,7468,7468,7468,7981,7974,7974,7479,7479,7479,7565,7565,7565,7577,7577,7577,7552,7552,7552,10096,10096,10096,10115,10115,10115,10033,10033,10033,7330,7330,7330,7330,7330,7330,7330,7330,7330
misc,bcsstk29,19397,19397,19397,19847,19847,19847,19322,19322,19322,19843,19843,19843,19845,19845,19845,19641,19641,19641,53399,53399,53399,53371,53371,53371,53276,53276,53276,20149,20149,20149,20149,20149,20149,20149,20149,20149
misc,bcsstk30,37393,37393,37393,38849,38849,38811,37335,37335,37335,38250,38250,38250,40245,38236,38236,38173,38173,38173,76877,76877,76877,82247,77183,76614,76272,76272,76272,38549,38549,38549,38560,38493,38490,38519,38519,38519
misc,bcsstk31,43757,43757,43757,44050,44038,44038,43553,43553,43553,46244,46244,46244,46244,46244,46244,45950,45950,45950,92096,92096,92096,86021,85655,80989,79346,79346,79346,45779,45779,45779,45779,45779,45779,45812,45812,45812
misc,bcsstk32,53452,53452,53452,53905,53879,53879,53185,53185,53185,53504,53504,53504,53497,53497,53497,53115,53115,53115,96402,96402,96402,98399,98293,93181,91705,91705,91705,54213,54213,54213,54213,53963,53963,54216,54216,54216
misc,bcsstk33,17452,17452,17452,18095,18084,18084,16714,16714,16714,19660,19660,19660,19631,19616,19616,19073,19073,19073,33610,33610,33610,33577,33577,33577,32885,32885,32885,16588,16588,16588,16587,16587,16587,16592,16592,16592
misc,bcsstk35,36727,36727,36727,36962,36952,36952,36607,36607,36607,37049,37049,37049,37046,37046,37046,36868,36868,36868,48633,48633,48633,49413,49133,49133,47334,47334,47334,37258,37258,37258,37257,37257,37257,37188,37188,37188
misc,bcsstk36,29776,29776,29776,30326,30294,30294,29541,29541,29541,29818,29818,29818,29819,29819,29819,29643,29643,29643,40319,40319,40319,42140,41380,39640,41157,41157,41157,30233,30233,30233,30233,30233,30233,30152,30152,30152
misc,bcsstk37,32303,32303,32303,32545,32523,32523,32152,32152,32152,32742,32742,32742,32738,32738,32738,32453,32453,32453,55829,55829,55829,54828,54617,53561,50920,50920,50920,32580,32580,32580,32584,32584,32584,32579,32579,32579
misc,bcsstk38,12456,12456,12456,12651,12646,12646,12208,12208,12208,12434,12434,12434,12445,12445,12445,12380,12380,12380,20568,20568,20568,20003,19597,19595,17729,17729,17729,12483,12483,12483,12484,12484,12484,12484,12484,12484
misc,bcsstk39,55965,55965,55965,56727,56720,56720,55857,55857,55857,63383,63383,63383,63777,63383,63383,63101,63101,63101,64801,64801,64801,64809,64809,64809,63241,63241,63241,58800,58800,58800,58800,58800,58800,58800,58800,58800
misc,bcsstm10,2000,2000,2000,2040,2040,2040,2003,2003,2003,1995,1995,1995,2000,2000,2000,2004,2004,2004,2264,2264,2264,2267,2267,2267,2268,2268,2268,2019,2019,2019,2019,2019,2019,2019,2019,2019
misc,bcsstm12,2319,2319,2319,2368,2368,2368,2312,2312,2312,2436,2436,2436,2447,2447,2447,2434,2434,2434,2775,2775,2775,2798,2798,2798,2806,2806,2806,2372,2372,2372,2372,2372,2372,2372,2372,2372
misc,bcsstm27,3114,3114,3114,3333,3333,3333,3097,3097,3097,2893,2893,2893,2905,2905,2905,2901,2901,2901,3122,3122,3122,3184,3184,3184,3106,3106,3106,3156,3156,3156,3157,3157,3157,3154,3154,3154
misc,bcsstm35,1408,1408,1408,1408,1408,1408,1408,1408,1408,1531,1531,1531,1512,1512,1512,1504,1504,1504,1552,1552,1552,1542,1542,1542,1543,1543,1543,1601,1601,1601,1601,1601,1601,1601,1601,1601
misc,bcsstm36,15781,15781,15781,15942,15942,15942,15695,15695,15695,15988,15988,15988,15922,15922,15922,16014,16014,16014,19619,19619,19619,19737,19737,19737,18998,18998,18998,15728,15728,15728,15729,15729,15729,15731,15731,15731
misc,bcsstm38,2013,2013,2013,2015,2015,2015,2016,2016,2016,2161,2161,2161,2166,2166,2166,2142,2142,2142,2433,2433,2433,2433,2433,2433,2433,2433,2433,2095,2095,2095,2092,2092,2092,2095,2095,2095
misc,belgium-osm,1443144,1443144,1443144,1443157,1443144,1443144,1443157,1443137,1443137,1443187,1443187,1443187,1443197,1443187,1443187,1443197,1443170,1443170,1503146,1503146,1465715,1503146,1503146,1457699,1503146,1503146,1467742,1452039,1452039,1452039,1452063,1452063,1451931,1452066,1452066,1451111
misc,benzene,27357,27357,27357,27709,27699,27699,26512,26512,26512,20538,20538,20538,20543,20543,20543,20278,20278,20278,61072,61072,61072,62089,62089,62089,60947,60947,60947,25082,25082,25082,25082,25082,25082,25082,25082,25082
misc,bfly,61860,61860,61860,61893,61879,61879,66112,60296,60296,64669,64669,64669,64687,64681,64681,67329,62309,62309,75979,75979,75979,76017,76017,76017,75704,75704,75704,74693,74693,74693,74693,74693,74693,74693,67798,67798
misc,bibd-13-6,6137,6137,6137,6620,6620,6620,6216,6216,6216,4752,4752,4752,4749,4749,4749,4737,4737,4737,4804,4804,4804,4804,4804,4804,4791,4791,4791,7966,7966,7966,7966,7966,7966,7966,7966,7966
misc,bibd-14-7,9842,9842,9842,9726,9653,9561,9645,9645,9645,7346,7346,7346,7347,7347,7347,7344,7344,7344,7374,7374,7374,7374,7374,7374,7364,7364,7364,15311,15311,15311,15311,15311,15311,15311,15311,15311
misc,bibd-15-7,13601,13601,13601,13213,13213,13001,12991,12991,12991,10998,10998,10998,10998,10998,10998,10998,10998,10998,10911,10911,10911,10911,10911,10911,10894,10894,10894,28072,28072,28072,28072,28072,28072,28072,28072,28072
misc,bibd-16-8,20627,20627,20627,166399,20430,20430,19966,19966,19966,18540,18540,18540,18542,18541,18541,18539,18539,18539,18273,18273,18273,18273,18273,18273,18251,18251,18251,54379,54379,54379,54379,54379,54379,54379,54379,54379
misc,bibd-17-8,33200,33200,33200,299074,32878,32878,32395,32395,32395,30706,30706,30706,30707,30707,30707,30707,30707,30707,30413,30413,30413,30413,30413,30413,30377,30377,30377,96871,96871,96871,96871,96871,96871,96871,96871,96871
misc,bibd-18-9,739096,60537,60537,739096,58412,58412,739096,57704,57704,56139,56139,56139,56400,56141,56141,56144,56144,56144,55756,55756,55756,55756,55756,55756,55703,55703,55703,210671,210671,210671,210671,210671,210671,210668,210668,210668
misc,bibd-49-3,39421,39421,39421,39454,39453,39450,39122,39122,39122,27508,27508,27508,27508,27508,27508,27507,27507,27507,37865,37865,37865,37935,37935,37935,38056,38056,38056,36738,36738,36738,36738,36738,36738,36739,36739,36739
misc,bibd-81-3,171953,171953,171953,183151,171971,171971,183151,170885,170885,110772,110772,110772,110772,110772,110772,110772,110772,110772,163362,163362,163362,163635,163635,163635,164261,164261,164261,158063,158063,158063,158063,158063,158063,158063,158063,158063
misc,bibsonomy-2ti,1371654,1038491,1038491,1371649,1031822,1031786,1371654,1371654,1032446,1104408,1104408,1031800,1104402,1032683,1032669,1104408,1104408,1021703,1175774,1175774,1175774,1175774,1175774,1175774,1175774,1175774,1175774,1115839,1115839,1115839,1115839,1115837,1115837,1115839,1115839,1106689
misc,bibsonomy-2ui,781910,773207,773207,781910,773231,773230,781910,773131,773131,775055,773528,773528,775055,773529,773527,775055,773505,773505,770404,770404,770404,770408,770400,770400,770402,770402,770402,771687,771687,771687,771687,771687,771687,771687,771687,771687
misc,bibsonomy-2ut,240156,240156,240156,239558,239556,239556,313951,239232,239232,246058,246058,246058,246509,246494,246490,265379,265379,243247,240653,240653,240653,240653,240653,240653,240653,240653,240653,263175,263175,263175,263182,263182,263182,263182,263182,263182
misc,big,14785,14785,14785,14762,14762,14762,14762,14762,14762,14915,14915,14915,14912,14912,14912,14879,14879,14879,18358,18358,18358,18805,18805,18805,17003,17003,17003,15017,15017,15017,15017,15017,15017,15017,15017,15017
misc,big-dual,31745,31745,31745,31745,31745,31745,31723,31723,31723,31728,31728,31728,31728,31728,31728,31719,31719,31719,34663,34663,34663,34529,34529,34529,34000,34000,34000,32148,32148,32148,32148,32148,32148,32148,32148,32148
misc,biplane-9,23408,23408,23408,23407,23407,23407,23385,23385,23385,23424,23424,23424,23423,23423,23423,23346,23346,23346,29747,29747,29747,29735,29735,29735,29237,29237,29237,23380,23380,23380,23380,23380,23380,23380,23380,23380
misc,bips07-1693,13288,13288,13288,13289,13289,13289,13285,13285,13285,13273,13273,13273,13271,13271,13271,13271,13271,13271,13517,13517,13517,13517,13517,13517,13619,13619,13619,13555,13555,13555,13557,13557,13557,13539,13539,13539
misc,bips07-1998,14886,14886,14886,14886,14886,14886,14890,14890,14890,14932,14932,14932,14922,14922,14922,14940,14940,14940,15163,15163,15163,15273,15273,15273,15208,15208,15208,15190,15190,15190,15190,15190,15190,15178,15178,15178
misc,bips07-2476,16678,16678,16678,16671,16671,16671,16676,16676,16676,16727,16727,16727,16732,16732,16732,16727,16727,16727,16992,16992,16992,17052,17052,17052,16991,16991,16991,16980,16980,16980,16964,16964,16964,16997,16997,16997
misc,bips07-3078,20905,20905,20905,20906,20906,20906,20904,20904,20904,20870,20870,20870,20868,20868,20868,20872,20872,20872,21244,21244,21244,21253,21253,21253,21203,21203,21203,21121,21121,21121,21126,21126,21126,21112,21112,21112
misc,bips98-1142,9828,9828,9828,9836,9836,9836,9832,9832,9832,9814,9814,9814,9814,9814,9814,9815,9815,9815,10060,10060,10060,10049,10049,10049,10098,10098,10098,10056,10056,10056,10014,10014,10014,10056,10056,10056
misc,bips98-1450,11313,11313,11313,11314,11314,11314,11308,11308,11308,11305,11305,11305,11302,11302,11302,11301,11301,11301,11528,11528,11528,11563,11563,11563,11537,11537,11537,11548,11548,11548,11547,11547,11547,11543,11543,11543
misc,bips98-606,7163,7163,7163,7154,7154,7154,7163,7163,7163,7144,7144,7144,7135,7135,7135,7145,7145,7145,7366,7366,7366,7335,7335,7335,7359,7359,7359,7277,7277,7277,7277,7277,7277,7294,7294,7294
misc,blockqp1,62519,62519,62519,61789,61789,61789,61454,61454,61454,60705,60705,60705,60705,60705,60705,60705,60705,60705,60958,60958,60958,60958,60958,60958,60958,60958,60958,118060,118060,118060,118060,118060,118060,118060,118060,118060
misc,bloweya,30989,30989,30989,30991,30991,30991,30983,30983,30983,30193,30193,30193,30193,30193,30193,30193,30193,30193,30178,30178,30178,30178,30178,30178,30178,30178,30178,33148,33148,33148,33148,33148,33148,33150,33150,33150
misc,bloweybl,31067,31067,31067,31067,31067,31067,31043,31043,31043,30191,30191,30191,30191,30191,30191,30191,30191,30191,30233,30233,30233,30233,30233,30233,30233,30233,30233,33329,33329,33329,33329,33329,33329,33329,33329,33329
misc,bloweybq,10996,10996,10996,11005,11005,11005,10978,10978,10978,10190,10190,10190,10190,10190,10190,10190,10190,10190,10175,10175,10175,10175,10175,10175,10175,10175,10175,10557,10557,10557,10555,10555,10555,10545,10545,10545
misc,bodyy4,19503,19503,19503,19486,19486,19486,19471,19471,19471,20099,20099,20099,20094,20094,20094,19817,19817,19817,32414,32414,32414,33862,33862,33862,29911,29911,29911,19676,19676,19676,19676,19676,19676,19676,19676,19676
misc,bodyy5,20643,20643,20643,20624,20624,20624,20608,20608,20608,21237,21237,21237,21235,21235,21235,20913,20913,20913,35388,35388,35388,35452,35452,35452,32046,32046,32046,20788,20788,20788,20779,20779,20779,20778,20778,20778
misc,bodyy6,21488,21488,21488,21486,21486,21486,21428,21428,21428,22068,22068,22068,22066,22066,22066,21734,21734,21734,34549,34549,34549,37024,37024,37024,33151,33151,33151,21623,21623,21623,21623,21623,21623,21623,21623,21623
misc,bookcrossing-full-rating,847830,569963,569963,847832,847832,563674,847830,847830,564077,692595,591004,591004,692595,591702,591702,692595,692595,578052,610418,610418,610418,610017,609993,609991,610465,603277,603277,535533,535533,535533,535533,535533,535533,535516,535516,535516
misc,bookcrossing-rating,306041,306041,306041,380406,303661,303661,380406,380406,301678,308844,308844,308844,350499,308823,308823,350499,350499,302536,329472,329472,329472,329216,329197,329197,329754,319174,319174,288258,288258,288258,288258,288258,288258,288258,288258,288258
misc,boyd1,94356,94356,94356,133879,94402,94401,133880,94385,94385,93826,93826,93826,93828,93826,93826,93826,93826,93826,93722,93722,93722,93722,93722,93722,93722,93722,93722,245833,245833,245833,245834,245834,245834,245834,245834,245834
misc,boyd2,467077,467077,467077,467214,467075,467075,467077,467077,467077,466481,466481,466481,466481,466481,466481,466481,466481,466481,468482,468482,468482,468482,468482,468482,468482,468482,468482,679854,679854,679854,679854,679854,679854,679854,679854,679854
misc,brack2,71021,71021,71021,70909,70908,70908,70939,70939,70939,71367,71367,71367,71298,71298,71298,71191,71191,71191,175150,175150,175150,179136,177574,177574,152265,152265,152265,71659,71659,71659,71659,71659,71659,71672,71672,71672
misc,brainpc2,30989,30989,30989,31016,31013,31013,30807,30807,30807,27984,27984,27984,27984,27984,27984,27984,27984,27984,34823,34823,34823,34826,34826,34826,34823,34823,34823,33634,33634,33634,33634,33634,33634,33634,33634,33634
misc,bratu3d,36375,36375,36375,36366,36366,36366,36115,36115,36115,37024,37024,37024,37027,37027,37027,36676,36676,36676,52941,52941,52941,52344,52344,52344,52941,52941,52941,35919,35919,35919,35919,35919,35919,35919,35919,35919
misc,bundle1,18709,18709,18709,19217,18872,18741,17873,17873,17873,15816,15816,15816,15799,15799,15798,15806,15806,15806,16817,16817,16817,17146,17146,17010,16902,16902,16902,27844,27844,27844,27848,27848,27848,27841,27841,27841
misc,c-18,3088,3088,3088,3083,3083,3083,3131,3131,3131,3144,3144,3144,3148,3148,3148,3139,3139,3139,3758,3758,3758,3705,3705,3705,3720,3720,3720,3141,3141,3141,3141,3141,3141,3136,3136,3136
misc,c-19,3653,3653,3653,3625,3625,3625,3598,3598,3598,3836,3836,3836,3824,3824,3824,3821,3821,3821,4957,4957,4957,5141,5141,5141,5165,5165,5165,3530,3530,3530,3530,3530,3530,3525,3525,3525
misc,c-20,4141,4141,4141,4006,4006,4006,4069,4069,4069,3915,3915,3915,3919,3919,3919,3909,3909,3909,4802,4802,4802,4820,4820,4820,4814,4814,4814,4415,4415,4415,4415,4415,4415,4415,4415,4415
misc,c-21,4759,4759,4759,4695,4695,4695,4723,4723,4723,4832,4832,4832,4825,4825,4825,4828,4828,4828,6277,6277,6277,6289,6289,6289,6032,6032,6032,5129,5129,5129,5129,5129,5129,5129,5129,5129
