Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
bio,bio-grid-fruitfly,16496,16496,16496,16337,16337,16337,16223,16223,16223,16871,16871,16871,16874,16873,16873,16471,16471,16471,20561,20561,20561,20558,20558,20558,18864,18864,18864,15802,15802,15802,15802,15802,15802,15802,15802,15802
bio,bio-grid-human,17198,17198,17198,17050,17050,17050,16935,16935,16935,17925,17925,17925,17947,17919,17919,17612,17612,17612,23885,23885,23885,23890,23890,23890,23854,23854,23854,17439,17439,17439,17436,17436,17436,17441,17441,17441
bio,bio-grid-mouse,1625,1625,1625,1623,1623,1623,1626,1626,1626,1605,1605,1605,1604,1604,1604,1605,1605,1605,1646,1646,1646,1656,1656,1656,1649,1649,1649,1716,1716,1716,1716,1716,1716,1716,1716,1716
bio,bio-grid-plant,2166,2166,2166,2117,2117,2117,2159,2159,2159,2117,2117,2117,2111,2111,2111,2122,2122,2122,2253,2253,2253,2274,2274,2274,2273,2273,2273,2165,2165,2165,2165,2165,2165,2165,2165,2165
bio,bio-grid-worm,5039,5039,5039,5010,5010,5010,5039,5039,5039,5048,5048,5048,5051,5051,5051,5035,5035,5035,5482,5482,5482,5482,5482,5482,5483,5483,5483,5318,5318,5318,5318,5318,5318,5318,5318,5318
bio,bio-grid-yeast,33078,33078,33078,32891,32890,32888,32671,32671,32671,40755,40755,40755,41464,41464,41464,40190,40190,40190,61995,61995,61995,61402,61380,61380,61866,61866,61866,29918,29918,29918,29924,29924,29924,29914,29914,29914
bio,bio-HS-CX,18796,18796,18796,18919,18919,18919,18816,18816,18816,24027,24027,24027,24883,24883,24867,23751,23751,23751,44856,44856,44856,43785,43785,43785,44053,44053,44053,18220,18220,18220,18220,18220,18220,18220,18220,18220
bio,bio-HS-HT,5604,5604,5604,5589,5589,5589,5539,5539,5539,5780,5780,5780,5797,5797,5797,5727,5727,5727,7818,7818,7818,7894,7894,7894,7383,7383,7383,5450,5450,5450,5450,5450,5450,5443,5443,5443
bio,bio-HS-LC,11914,11914,11914,11973,11971,11967,11704,11704,11704,13444,13444,13444,13580,13505,13505,13202,13202,13202,19383,19383,19383,19004,19004,19004,18875,18875,18875,11446,11446,11446,11446,11446,11446,11446,11446,11446
bio,bio-SC-CC,7988,7988,7988,7749,7741,7741,7855,7855,7855,9308,9308,9308,9607,9592,9592,9197,9197,9197,14227,14227,14227,13379,13379,13379,13714,13714,13714,7329,7329,7329,7329,7329,7329,7329,7329,7329
